month,n,pnl,wr,roi%
2025-03,2,40.739999999999995,50.0,0.41
2025-04,8,-325.6,50.0,-3.26
2025-05,3,-99.03999999999999,66.7,-0.99
2025-06,6,-490.66999999999996,16.7,-4.91
2025-07,8,-589.75,12.5,-5.9
2025-08,9,-717.32,22.2,-7.17
2025-09,5,-405.5,0.0,-4.06
2025-10,9,-378.52,22.2,-3.79
2025-11,6,-518.3199999999999,16.7,-5.18
2025-12,5,-368.1,20.0,-3.68
2026-01,7,-309.87,14.3,-3.1
2026-02,4,-103.45,50.0,-1.03
2026-03,8,12.740000000000009,37.5,0.13
2026-04,12,-318.84000000000003,33.3,-3.19
2026-05,5,-204.36,20.0,-2.04
