entry_time,exit_time,dir,entry_px,exit_px,tp1_hit,tp1_pct,exit_pct,total_pnl%,total_usd,equity,exit,bars,at_level,rsi_at_entry,vol_ratio,month
2025-03-26 11:00,2025-03-26 11:30,LONG,88263.02,88118.97,False,0.0,-0.2182,-1.0911,-109.11,9890.89,SL,2,SwingH,51.7,1.0,2025-03
2025-03-29 09:00,2025-03-29 10:15,SHORT,83800.34,83406.83,True,0.2267,0.4146,1.5048,149.85,10040.75,TP2,5,SwingH,45.8,1.0,2025-03
2025-04-15 08:30,2025-04-15 09:15,LONG,85876.06,85855.59,False,0.0,-0.0788,-0.3942,-39.58,10001.17,TIME,3,SwingH,58.7,1.0,2025-04
2025-04-16 07:00,2025-04-16 07:45,SHORT,83562.68,83349.86,False,0.0,0.1997,0.9984,99.85,10101.02,TIME,3,VWAP,44.8,1.0,2025-04
2025-04-16 08:00,2025-04-16 08:15,SHORT,83161.28,83389.9,False,0.0,-0.3299,-1.6496,-166.62,9934.4,SL,1,SwingL,41.3,1.0,2025-04
2025-04-18 16:30,2025-04-18 17:15,SHORT,84472.76,84423.62,False,0.0,0.0032,0.0159,1.58,9935.97,TIME,3,SwingH,45.4,1.0,2025-04
2025-04-19 07:00,2025-04-19 08:30,LONG,84977.59,85275.17,True,0.1551,0.2952,1.0535,105.17,10041.14,TP2,6,SwingL,58.4,1.0,2025-04
2025-04-22 08:00,2025-04-22 08:45,LONG,88553.75,88422.32,False,0.0,-0.2034,-1.0171,-102.13,9939.01,TIME,3,RoundN,58.0,1.0,2025-04
2025-04-22 09:15,2025-04-22 10:00,LONG,88541.58,88600.01,False,0.0,0.011,0.055,5.46,9944.47,TIME,3,RoundN,55.0,1.0,2025-04
2025-04-28 13:45,2025-04-28 14:00,SHORT,94001.3,94383.14,False,0.0,-0.4612,-2.3061,-229.33,9715.15,SL,1,RoundN,41.0,1.0,2025-04
2025-05-01 06:45,2025-05-01 07:30,LONG,94916.17,95053.11,False,0.0,0.0893,0.4464,43.37,9758.51,TIME,3,SwingL,54.5,1.0,2025-05
2025-05-04 13:00,2025-05-04 14:00,SHORT,95460.21,95460.21,True,0.1403,-0.055,0.3091,30.29,9788.81,SL,4,SwingH,45.0,1.0,2025-05
2025-05-27 16:30,2025-05-27 17:15,LONG,110504.88,110175.75,False,0.0,-0.3528,-1.7642,-172.7,9616.11,TIME,3,RoundN,51.1,1.0,2025-05
2025-06-06 17:45,2025-06-06 18:00,LONG,105019.22,104737.03,False,0.0,-0.3237,-1.6185,-155.64,9460.47,SESS,1,RoundN,57.0,1.0,2025-06
2025-06-13 06:15,2025-06-13 06:45,SHORT,103923.76,104275.12,False,0.0,-0.3931,-1.9655,-185.94,9274.53,SL,2,VWAP,54.7,1.0,2025-06
2025-06-14 10:45,2025-06-14 11:30,SHORT,105054.4,105027.27,False,0.0,-0.0292,-0.1459,-13.53,9261.0,TIME,3,SwingH,50.7,1.0,2025-06
2025-06-14 11:30,2025-06-14 12:15,SHORT,105027.27,104954.73,False,0.0,0.0141,0.0703,6.51,9267.52,TIME,3,SwingH,55.4,1.0,2025-06
2025-06-20 11:30,2025-06-20 12:15,LONG,105999.99,105961.99,False,0.0,-0.0908,-0.4542,-42.1,9225.42,TIME,3,SwingL,41.4,1.0,2025-06
2025-06-29 14:00,2025-06-29 14:30,LONG,108235.35,108060.3,False,0.0,-0.2167,-1.0837,-99.97,9125.45,SL,2,SwingH,56.6,1.0,2025-06
2025-07-01 12:00,2025-07-01 12:45,SHORT,106609.89,106462.43,False,0.0,0.0833,0.4166,38.02,9163.46,TIME,3,SwingH,41.8,1.0,2025-07
2025-07-15 11:15,2025-07-15 11:45,SHORT,116454.68,116739.17,False,0.0,-0.2993,-1.4964,-137.13,9026.33,SL,2,RoundN,42.3,1.0,2025-07
2025-07-16 12:30,2025-07-16 12:45,LONG,118991.08,118726.14,False,0.0,-0.2777,-1.3883,-125.31,8901.03,SL,1,RoundN,48.9,1.0,2025-07
2025-07-17 09:15,2025-07-17 09:45,LONG,119181.1,118832.59,False,0.0,-0.3474,-1.7371,-154.62,8746.41,SL,2,SwingH,58.3,1.0,2025-07
2025-07-19 15:45,2025-07-19 16:30,SHORT,118114.79,118139.57,False,0.0,-0.076,-0.3799,-33.23,8713.18,TIME,3,VWAP,44.6,1.0,2025-07
2025-07-26 15:45,2025-07-26 16:30,LONG,118172.6,118114.95,False,0.0,-0.1038,-0.5189,-45.21,8667.96,TIME,3,SwingH,56.9,1.0,2025-07
2025-07-27 06:00,2025-07-27 06:45,LONG,118333.93,118326.91,False,0.0,-0.0609,-0.3047,-26.41,8641.56,TIME,3,VWAP,56.4,1.0,2025-07
2025-07-29 09:30,2025-07-29 10:00,LONG,118916.06,118690.11,False,0.0,-0.245,-1.225,-105.86,8535.69,SL,2,RoundN,51.3,1.0,2025-07
2025-08-01 10:45,2025-08-01 11:30,SHORT,114715.17,115078.7,False,0.0,-0.3719,-1.8595,-158.72,8376.97,SL,3,SwingL,48.1,1.0,2025-08
2025-08-10 15:30,2025-08-10 16:15,LONG,118725.24,118712.56,False,0.0,-0.0657,-0.3284,-27.51,8349.46,TIME,3,SwingL,57.6,1.0,2025-08
2025-08-11 06:30,2025-08-11 07:15,LONG,122219.31,121911.89,False,0.0,-0.3065,-1.5327,-127.97,8221.49,SL,3,SwingH,55.4,1.0,2025-08
2025-08-13 17:15,2025-08-13 18:00,LONG,121831.45,121942.75,False,0.0,0.0364,0.1818,14.94,8236.44,TIME,3,SwingH,50.5,1.0,2025-08
2025-08-19 07:15,2025-08-19 08:00,SHORT,114750.01,115036.93,False,0.0,-0.305,-1.5252,-125.62,8110.82,SL,3,SwingL,47.0,1.0,2025-08
2025-08-20 14:45,2025-08-20 15:15,SHORT,113456.47,113924.03,False,0.0,-0.4671,-2.3355,-189.43,7921.39,SL,2,VWAP,50.4,1.0,2025-08
2025-08-24 11:00,2025-08-24 11:45,SHORT,114738.57,114697.43,False,0.0,-0.0191,-0.0957,-7.58,7913.81,TIME,3,SwingL,41.9,1.0,2025-08
2025-08-28 10:00,2025-08-28 10:45,LONG,113027.18,113133.77,False,0.0,0.0393,0.1965,15.55,7929.36,TIME,3,RoundN,49.1,1.0,2025-08
2025-08-29 11:30,2025-08-29 12:00,SHORT,109910.18,110157.4,False,0.0,-0.2799,-1.3997,-110.98,7818.37,SL,2,RoundN,44.7,1.0,2025-08
2025-09-05 10:30,2025-09-05 11:15,LONG,112393.01,112357.37,False,0.0,-0.0867,-0.4336,-33.9,7784.48,TIME,3,RoundN,51.3,1.0,2025-09
2025-09-07 11:45,2025-09-07 12:15,LONG,111303.16,111152.36,False,0.0,-0.1905,-0.9524,-74.14,7710.33,SL,2,SwingH,52.6,1.0,2025-09
2025-09-15 07:45,2025-09-15 08:00,LONG,115856.02,115604.08,False,0.0,-0.2725,-1.3623,-105.04,7605.3,SL,1,VWAP,45.7,1.0,2025-09
2025-09-26 14:45,2025-09-26 15:15,SHORT,108894.35,109304.43,False,0.0,-0.4316,-2.1579,-164.12,7441.18,SL,2,RoundN,51.6,1.0,2025-09
2025-09-29 17:45,2025-09-29 18:00,LONG,114121.47,114097.42,False,0.0,-0.0761,-0.3804,-28.3,7412.88,SESS,1,RoundN,58.3,1.0,2025-09
2025-10-01 06:00,2025-10-01 06:45,LONG,114596.47,114368.8,False,0.0,-0.2537,-1.2684,-94.02,7318.85,SL,3,RoundN,58.0,1.0,2025-10
2025-10-06 07:00,2025-10-06 07:30,LONG,124030.05,123788.44,False,0.0,-0.2498,-1.249,-91.41,7227.44,SL,2,RoundN,52.7,1.0,2025-10
2025-10-20 09:30,2025-10-20 10:15,LONG,110882.1,111058.02,False,0.0,0.1037,0.5183,37.46,7264.9,TIME,3,SwingL,40.4,1.0,2025-10
2025-10-21 07:30,2025-10-21 08:15,SHORT,108058.03,107876.41,False,0.0,0.1131,0.5654,41.07,7305.97,TIME,3,SwingH,43.6,1.0,2025-10
2025-10-24 09:00,2025-10-24 09:45,LONG,111376.85,111367.17,False,0.0,-0.0637,-0.3185,-23.27,7282.71,TIME,3,RoundN,54.2,1.0,2025-10
2025-10-25 10:30,2025-10-25 11:15,LONG,111696.58,111656.09,False,0.0,-0.0912,-0.4562,-33.23,7249.48,TIME,3,SwingH,57.6,1.0,2025-10
2025-10-26 15:45,2025-10-26 16:15,LONG,113701.92,113415.52,False,0.0,-0.3069,-1.5344,-111.24,7138.24,SL,2,SwingH,51.4,1.0,2025-10
2025-10-26 16:30,2025-10-26 17:15,LONG,113639.97,113639.78,False,0.0,-0.0552,-0.2758,-19.69,7118.55,TIME,3,SwingH,55.9,1.0,2025-10
2025-10-28 17:30,2025-10-28 18:00,LONG,115528.17,115318.44,False,0.0,-0.2365,-1.1827,-84.19,7034.36,SESS,2,RoundN,46.4,1.0,2025-10
2025-11-08 15:15,2025-11-08 16:00,SHORT,101557.99,101855.28,False,0.0,-0.3477,-1.7387,-122.3,6912.06,SL,3,RoundN,43.6,1.0,2025-11
2025-11-08 17:00,2025-11-08 17:45,SHORT,101621.52,101899.65,False,0.0,-0.3287,-1.6434,-113.6,6798.46,SL,3,RoundN,41.7,1.0,2025-11
2025-11-10 09:15,2025-11-10 10:00,LONG,106411.01,106260.06,False,0.0,-0.1969,-0.9843,-66.92,6731.55,TIME,3,RoundN,58.4,1.0,2025-11
2025-11-22 12:15,2025-11-22 13:00,SHORT,83617.46,83968.05,False,0.0,-0.4743,-2.3714,-159.63,6571.91,SL,3,SwingL,43.5,1.0,2025-11
2025-11-26 06:30,2025-11-26 07:15,LONG,87634.72,87770.52,False,0.0,0.1,0.4998,32.85,6604.76,TIME,3,VWAP,49.3,1.0,2025-11
2025-11-27 07:15,2025-11-27 08:00,LONG,91429.41,91234.06,False,0.0,-0.2687,-1.3433,-88.72,6516.04,TIME,3,RoundN,58.9,1.0,2025-11
