time,dir,sess,level,entry,exit,t1hit,pnl,eq,xt,bars,month
2025-04-02 15:00,LONG,NY_prime,RoundNum,86203.93,86786.93,True,164.76,10164.76,TP2,2,2025-04
2025-04-23 16:30,LONG,NY_prime,VWAP,93562.55,93928.56,False,136.69,10301.46,TIME,5,2025-04
2025-04-29 15:45,LONG,NY_prime,VWAP,94859.76,95237.77,True,90.49,10391.95,TP2,3,2025-04
2025-04-29 16:30,LONG,NY_prime,PrevHigh,95487.98,95329.94,False,-91.66,10300.29,SL,1,2025-04
2025-05-01 16:15,LONG,NY_prime,RoundNum,97281.08,97072.21,False,-111.12,10189.17,SL,4,2025-05
2025-05-03 15:00,LONG,NY_prime,VWAP,96486.5,96424.93,False,-48.43,10140.74,SL,4,2025-05
2025-05-03 16:00,LONG,NY_prime,PrevLow,96322.14,96264.55,False,-46.56,10094.18,SL,2,2025-05
2025-05-06 15:30,LONG,NY_prime,VWAP,94593.01,94593.01,True,26.89,10121.07,SL,3,2025-05
2025-05-07 15:30,LONG,NY_prime,RoundNum,97111.01,96967.2,False,-82.22,10038.85,SL,1,2025-05
2025-05-07 15:45,LONG,NY_prime,PrevHigh,96946.41,96801.18,False,-82.24,9956.61,SL,2,2025-05
2025-05-11 15:15,LONG,NY_prime,VWAP,104379.95,104224.71,False,-81.14,9875.47,SL,2,2025-05
2025-05-13 15:00,LONG,NY_prime,RoundNum,103771.74,103771.74,True,37.93,9913.41,SL,7,2025-05
2025-05-15 15:45,LONG,NY_prime,RoundNum,103286.86,103886.53,True,137.03,10050.44,TP2,6,2025-05
2025-05-16 16:00,LONG,NY_prime,PrevHigh,104334.23,104147.89,False,-93.91,9956.53,SL,1,2025-05
2025-05-16 17:00,LONG,,PrevHigh,104166.12,103970.58,False,-96.67,9859.86,SL,3,2025-05
2025-05-19 17:00,LONG,,RoundNum,105093.6,105093.6,True,39.59,9899.45,SL,6,2025-05
2025-05-24 15:15,LONG,NY_prime,RoundNum,109005.04,108868.43,False,-71.4,9828.05,SL,3,2025-05
2025-05-26 15:30,LONG,NY_prime,RoundNum,110012.5,109876.99,False,-70.04,9758.01,SL,3,2025-05
2025-06-07 15:30,LONG,NY_prime,PrevHigh,105532.5,105532.5,True,6.12,9764.13,SL,4,2025-06
2025-06-08 15:30,LONG,NY_prime,PrevHigh,106063.71,106307.62,True,40.35,9804.48,TP2,7,2025-06
2025-06-15 16:45,LONG,NY_prime,VWAP,105605.84,105605.84,True,6.78,9811.26,SL,5,2025-06
2025-06-28 15:45,LONG,NY_prime,VWAP,107506.75,107468.37,False,-35.6,9775.67,SL,2,2025-06
2025-07-03 15:30,LONG,NY_prime,VWAP,109321.54,109316.08,False,-23.46,9752.21,TIME,5,2025-07
2025-07-05 17:00,LONG,,RoundNum,108047.14,108047.14,True,-7.87,9744.33,SL,5,2025-07
2025-07-09 16:45,LONG,NY_prime,PrevHigh,109430.91,109268.96,False,-79.12,9665.21,SL,2,2025-07
2025-07-10 15:00,LONG,NY_prime,RoundNum,111055.35,111442.96,True,71.7,9736.91,TP2,3,2025-07
2025-07-17 17:00,LONG,,RoundNum,118969.6,118760.74,False,-89.8,9647.11,SL,1,2025-07
2025-07-19 15:30,LONG,NY_prime,VWAP,118286.75,118176.91,False,-57.06,9590.05,SL,1,2025-07
2025-07-19 15:45,LONG,NY_prime,RoundNum,118114.79,118006.14,False,-56.39,9533.67,SL,1,2025-07
