entry_time,exit_time,dir,total_usd,total_pct,exit,tp1_hit,rsi,vol_ratio,macd_hist,month
2025-07-29 09:30,2025-07-29 10:00,LONG,-122.5,-1.225,SL,False,51.3,1.0,-23.6317,2025-07
2025-08-01 10:45,2025-08-01 11:30,SHORT,-183.67,-1.8595,SL,False,48.1,1.0,35.3399,2025-08
2025-08-13 17:15,2025-08-13 18:00,LONG,17.62,0.1818,TIME,False,50.5,1.0,13.6873,2025-08
2025-08-19 07:15,2025-08-19 08:00,SHORT,-148.12,-1.5252,SL,False,47.0,1.0,-2.4141,2025-08
2025-08-20 14:45,2025-08-20 15:15,SHORT,-223.35,-2.3355,SL,False,50.4,1.0,-18.4622,2025-08
2025-08-28 10:00,2025-08-28 10:45,LONG,18.36,0.1965,TIME,False,49.1,1.0,-71.8231,2025-08
2025-09-05 10:30,2025-09-05 11:15,LONG,-40.57,-0.4336,TIME,False,51.3,1.0,-78.1263,2025-09
2025-09-07 11:45,2025-09-07 12:15,LONG,-88.75,-0.9524,SL,False,52.6,1.0,5.5409,2025-09
2025-09-15 07:45,2025-09-15 08:00,LONG,-125.73,-1.3623,SL,False,45.7,1.0,-55.4687,2025-09
2025-09-26 14:45,2025-09-26 15:15,SHORT,-196.44,-2.1579,SL,False,51.6,1.0,-22.5826,2025-09
2025-10-06 07:00,2025-10-06 07:30,LONG,-111.25,-1.249,SL,False,52.7,1.0,5.6314,2025-10
2025-10-20 09:30,2025-10-20 10:15,LONG,45.59,0.5183,TIME,False,40.4,1.0,-123.8247,2025-10
2025-10-24 09:00,2025-10-24 09:45,LONG,-28.16,-0.3185,TIME,False,54.2,1.0,-34.8754,2025-10
2025-10-26 15:45,2025-10-26 16:15,LONG,-135.23,-1.5344,SL,False,51.4,1.0,-66.0085,2025-10
2025-10-28 17:30,2025-10-28 18:00,LONG,-102.63,-1.1827,SESS,False,46.4,1.0,26.7307,2025-10
2025-11-23 07:00,2025-11-23 07:15,LONG,-165.61,-1.9313,SL,False,44.3,1.0,-108.2738,2025-11
2025-11-23 09:30,2025-11-23 10:15,LONG,-148.81,-1.7695,SL,False,54.0,1.0,11.6561,2025-11
2025-11-26 06:30,2025-11-26 07:15,LONG,41.29,0.4998,TIME,False,49.3,1.0,19.8528,2025-11
2025-11-30 16:45,2025-11-30 17:00,LONG,-113.11,-1.3624,SL,False,49.3,1.0,12.726,2025-11
2025-12-29 08:15,2025-12-29 08:45,LONG,-107.73,-1.3156,SL,False,33.2,1.0,-108.7978,2025-12
2025-12-30 11:45,2025-12-30 12:30,LONG,19.15,0.237,TIME,False,53.3,1.0,-13.2606,2025-12
2026-01-02 13:15,2026-01-02 13:45,LONG,-107.87,-1.3317,SL,False,53.5,1.0,-25.6609,2026-01
2026-01-09 06:15,2026-01-09 07:00,SHORT,-53.84,-0.6737,TIME,False,46.2,1.0,-20.3118,2026-01
2026-01-12 12:30,2026-01-12 13:15,SHORT,-0.91,-0.0115,TIME,False,46.3,1.0,34.6518,2026-01
2026-01-16 09:15,2026-01-16 10:00,LONG,-81.43,-1.0258,SL,False,52.5,1.0,13.6939,2026-01
2026-02-12 08:15,2026-02-12 09:00,SHORT,-171.5,-2.183,TIME,False,47.6,1.0,-0.4363,2026-02
2026-02-15 16:45,2026-02-15 17:30,SHORT,86.04,1.1197,TIME,False,48.4,1.0,16.8943,2026-02
2026-02-17 08:00,2026-02-17 08:45,SHORT,105.53,1.3581,TIME,False,48.5,1.0,6.8242,2026-02
2026-02-23 06:15,2026-02-23 06:45,SHORT,-159.28,-2.0223,SL,False,64.6,1.0,143.6678,2026-02
2026-03-15 07:45,2026-03-15 08:30,LONG,40.26,0.5218,TIME,False,46.1,1.0,-31.0543,2026-03
2026-03-24 11:30,2026-03-24 12:15,LONG,-107.51,-1.3859,TIME,False,53.5,1.0,-3.052,2026-03
2026-03-27 17:45,2026-03-27 18:00,SHORT,-17.88,-0.2337,SESS,False,47.3,1.0,13.1639,2026-03
2026-03-30 10:30,2026-03-30 12:00,LONG,160.26,2.0801,TP2,True,51.9,1.0,-53.515,2026-03
2026-04-12 06:45,2026-04-12 07:30,SHORT,-67.59,-0.8674,TIME,False,45.3,1.0,63.514,2026-04
2026-04-12 17:00,2026-04-12 17:45,SHORT,-105.77,-1.3693,SL,False,46.7,1.0,28.598,2026-04
2026-04-15 12:00,2026-04-15 12:45,LONG,14.52,0.1906,TIME,False,53.7,1.0,37.8179,2026-04
2026-04-22 10:15,2026-04-22 11:00,LONG,24.69,0.3235,TIME,False,52.4,1.0,-56.0851,2026-04
2026-04-27 11:00,2026-04-27 11:45,SHORT,-52.11,-0.6804,TIME,False,55.0,1.0,47.1664,2026-04
2026-04-29 09:00,2026-04-29 09:45,LONG,88.14,1.1529,TP2,True,38.4,1.0,-36.5305,2026-04
2026-05-11 07:00,2026-05-11 07:45,SHORT,-14.57,-0.1894,TIME,False,51.4,1.0,16.0997,2026-05
2026-05-11 14:00,2026-05-11 14:15,LONG,-118.28,-1.5402,SL,False,51.7,1.0,-3.0761,2026-05
2026-05-18 10:00,2026-05-18 10:45,SHORT,-17.06,-0.2257,TIME,False,47.3,1.0,7.4315,2026-05
2026-05-31 09:30,2026-05-31 11:15,SHORT,19.23,0.254,SL,True,46.7,1.0,-4.1413,2026-05
