date,dir,entry,exit,pnl,reason,score,bars,win,month
2025-04-11,LONG,3232.91992,3224.6926605436934,-300.0000000000006,SL,10.0,2,False,2025-04
2025-04-11,LONG,3234.53003,3228.2255246286645,-291.00000000000756,SL,10.0,2,False,2025-04
2025-05-02,SHORT,3251.81,3258.7995034280534,-282.2699999999942,SL,-6.0,2,False,2025-05
2025-05-06,LONG,3386.24,3403.96,654.435750487655,TIME,2.0,6,True,2025-05
2025-05-08,LONG,3360.34,3354.1304485001956,-303.29184091464003,SL,2.0,1,False,2025-05
2025-05-08,LONG,3358.04,3351.6100894738584,-294.19308568719816,SL,2.0,1,False,2025-05
2025-05-13,SHORT,3232.22,3238.4098323359226,-285.3672931165707,SL,-6.0,1,False,2025-05
2025-05-14,SHORT,3191.38,3185.53,211.32416050615606,TIME,-2.0,6,True,2025-05
2025-05-14,SHORT,3186.41,3186.41,0.0,SESS,-2.0,0,False,2025-05
2025-05-21,LONG,3305.72,3311.01,326.08416344219086,SESS,6.0,2,True,2025-05
2025-05-29,LONG,3314.5,3326.05,601.3634710595363,TIME,2.0,6,True,2025-05
2025-06-02,LONG,3372.4,3369.49,-213.8875400345545,TIME,2.0,6,False,2025-06
2025-06-04,LONG,3370.88,3374.65,251.12885609296694,SESS,2.0,4,True,2025-06
2025-06-11,SHORT,3333.09,3338.8565570998135,-322.6320945205642,SL,-2.0,1,False,2025-06
2025-06-12,LONG,3388.68,3382.0919098319205,-312.95313168494056,SL,6.0,3,False,2025-06
2025-06-12,LONG,3388.42993,3382.096081842656,-303.5645377344038,SL,6.0,6,False,2025-06
2025-06-13,LONG,3436.87,3431.8977579910743,-294.45760160235795,SL,10.0,1,False,2025-06
2025-06-13,LONG,3426.23,3420.8062131083525,-285.62387355430326,SL,10.0,1,False,2025-06
2025-06-26,SHORT,3319.98999,3322.37012,-109.306570793873,TIME,-2.0,6,False,2025-06
2025-06-26,SHORT,3323.11011,3327.693058012439,-273.7759602238523,SL,-2.0,3,False,2025-06
2025-06-30,SHORT,3284.80005,3288.6447899941168,-265.56268141713934,SL,-10.0,1,False,2025-06
2025-07-01,LONG,3349.12012,3343.6289135451443,-257.59580097461145,SL,6.0,2,False,2025-07
2025-07-02,LONG,3337.58008,3332.867615392839,-249.86792694538644,SL,2.0,1,False,2025-07
2025-07-16,SHORT,3326.92993,3326.92993,290.84626696442587,SL,-2.0,4,True,2025-07
2025-07-21,LONG,3388.78003,3400.4378353939064,658.2174183923631,TP2,2.0,3,True,2025-07
2025-07-21,LONG,3396.09,3395.5,-45.69525173152915,TIME,2.0,6,False,2025-07
2025-07-21,LONG,3395.63989,3392.77773745147,-278.1983301547246,SL,2.0,1,False,2025-07
2025-07-25,SHORT,3340.42,3340.42,323.8228563000759,SL,-2.0,2,True,2025-07
2025-07-25,SHORT,3340.99,3340.99,347.1381019536885,SL,-2.0,4,True,2025-07
2025-07-29,SHORT,3324.75,3327.757718582443,-310.11003774527524,SL,-10.0,1,False,2025-07
2025-08-04,LONG,3378.61,3375.637463631262,-300.806736612943,SL,6.0,3,False,2025-08
2025-08-04,LONG,3376.4,3374.0777603974802,-291.78253451456214,SL,6.0,4,False,2025-08
2025-08-04,LONG,3374.79,3374.79,0.0,SESS,6.0,0,False,2025-08
2025-08-05,LONG,3380.6,3377.168550059685,-283.0290584790911,SL,6.0,1,False,2025-08
2025-08-06,LONG,3375.99,3375.86,-14.337618462552484,TIME,6.0,6,False,2025-08
2025-08-07,LONG,3382.81,3383.41,58.737685079889836,TIME,6.0,6,True,2025-08
2025-08-15,SHORT,3332.43,3335.081976150732,-275.87018872325143,SL,-6.0,2,False,2025-08
2025-08-15,SHORT,3334.84,3329.38,587.1865478323584,TIME,-6.0,6,True,2025-08
2025-08-21,LONG,3335.51,3333.068394442644,-294.8430664867533,SL,6.0,3,False,2025-08
2025-08-21,LONG,3333.5,3333.5,0.0,SESS,6.0,0,False,2025-08
2025-08-22,LONG,3351.95,3359.92,578.2597957538063,SESS,2.0,5,True,2025-08
2025-08-25,LONG,3360.29,3363.14,658.8241525391588,TIME,10.0,6,True,2025-08
2025-08-28,LONG,3404.02,3412.4480044523257,873.2331762121057,TP2,2.0,4,True,2025-08
2025-09-03,LONG,3566.95,3573.87,711.6094917347061,TIME,2.0,6,True,2025-09
2025-09-04,LONG,3553.02,3548.513959194846,-405.59478129863345,SL,6.0,1,False,2025-09
2025-09-04,LONG,3553.42,3560.3,692.9893925614615,TIME,6.0,6,True,2025-09
2025-09-05,LONG,3585.28,3594.25,521.8439071462983,TIME,2.0,6,True,2025-09
