date,dir,entry,exit,pnl,reason,score,bars,win,month
2025-04-11,LONG,3232.91992,3224.6926605436934,-300.0000000000006,SL,10.0,2,False,2025-04
2025-04-11,LONG,3234.53003,3225.82007,-402.02969316577975,SESS,10.0,1,False,2025-04
2025-05-02,SHORT,3251.81,3258.7995034280534,-278.9391092050211,SL,-6.0,2,False,2025-05
2025-05-06,LONG,3386.24,3403.96,646.7131656674451,TIME,2.0,6,True,2025-05
2025-05-08,LONG,3360.34,3354.1304485001956,-299.7128845923492,SL,2.0,1,False,2025-05
2025-05-08,LONG,3358.04,3351.6100894738584,-290.7214980545761,SL,2.0,1,False,2025-05
2025-05-13,SHORT,3232.22,3238.4098323359226,-281.99985311292744,SL,-6.0,1,False,2025-05
2025-05-14,SHORT,3185.53,3186.41,-37.37015114430404,SESS,-2.0,5,False,2025-05
2025-05-21,LONG,3305.72,3311.01,313.7301655100252,SESS,6.0,0,True,2025-05
2025-05-29,LONG,3314.5,3326.05,578.58026380554,TIME,2.0,6,True,2025-05
2025-06-02,LONG,3372.4,3375.4,212.14867442840605,SESS,2.0,5,True,2025-06
2025-06-04,LONG,3370.88,3374.65,251.60720780425947,SESS,2.0,2,True,2025-06
2025-06-11,SHORT,3333.09,3338.8565570998135,-323.2466460178827,SL,-2.0,1,False,2025-06
2025-06-12,LONG,3388.68,3382.0919098319205,-313.5492466373396,SL,6.0,3,False,2025-06
2025-06-12,LONG,3388.42993,3381.12,-351.0128910431572,SESS,6.0,5,False,2025-06
2025-06-13,LONG,3435.82,3430.027436646629,-293.6123825069327,SL,10.0,2,False,2025-06
2025-06-13,LONG,3426.23,3420.8062131083525,-284.8040110317304,SL,10.0,1,False,2025-06
2025-06-26,SHORT,3323.1,3323.11011,-0.4624570011826836,TIME,-2.0,6,False,2025-06
2025-07-01,LONG,3349.12012,3343.6289135451443,-276.2460169907258,SL,6.0,2,False,2025-07
2025-07-16,SHORT,3325.15991,3328.868825580291,-267.9586364809953,SL,-2.0,2,False,2025-07
2025-07-21,LONG,3396.09,3395.5,-42.48359529402215,TIME,2.0,6,False,2025-07
2025-07-25,SHORT,3340.42,3340.42,310.37444343330844,SL,-2.0,2,True,2025-07
2025-07-25,SHORT,3340.99,3333.31006,464.7998120503446,SESS,-2.0,2,True,2025-07
2025-07-29,SHORT,3324.75,3327.757718582443,-301.1934725960678,SL,-10.0,1,False,2025-07
2025-08-04,LONG,3378.61,3375.637463631262,-292.15766841821096,SL,6.0,3,False,2025-08
2025-08-04,LONG,3376.4,3374.0777603974802,-283.3929383656719,SL,6.0,4,False,2025-08
2025-08-05,LONG,3380.6,3377.168550059685,-274.8911502146686,SL,6.0,1,False,2025-08
2025-08-06,LONG,3375.99,3375.86,-13.925370248868933,SESS,6.0,4,False,2025-08
2025-08-07,LONG,3382.81,3382.01,-76.06507449244903,SESS,6.0,5,False,2025-08
2025-08-15,SHORT,3332.43,3335.081976150732,-263.9447023660016,SL,-6.0,2,False,2025-08
2025-08-15,SHORT,3334.84,3328.96,581.3857210641871,SESS,-6.0,5,True,2025-08
2025-08-21,LONG,3335.51,3333.5,-232.71433462079685,SESS,6.0,2,False,2025-08
2025-08-22,LONG,3351.95,3359.92,566.5038259682628,SESS,2.0,3,True,2025-08
2025-08-25,LONG,3360.29,3363.14,658.9847912783046,SESS,10.0,4,True,2025-08
2025-08-28,LONG,3404.02,3412.4480044523257,791.5858797112593,TP2,2.0,4,True,2025-08
2025-09-03,LONG,3566.95,3573.87,645.0740087191507,TIME,2.0,6,True,2025-09
2025-09-04,LONG,3553.02,3548.513959194846,-367.67167179020385,SL,6.0,1,False,2025-09
2025-09-04,LONG,3553.42,3559.78,613.0615990763083,SESS,6.0,5,True,2025-09
2025-09-05,LONG,3585.28,3594.25,472.49845300732295,TIME,2.0,6,True,2025-09
2025-09-08,LONG,3636.53,3642.43,703.9371773457549,TIME,10.0,6,True,2025-09
2025-09-11,LONG,3627.08,3636.45,802.3796770859316,TIME,10.0,6,True,2025-09
2025-09-17,LONG,3694.2,3691.6705112544946,-477.46564331047836,SL,6.0,1,False,2025-09
2025-09-18,SHORT,3648.97,3644.36,380.038906307129,TIME,-2.0,6,True,2025-09
2025-09-18,SHORT,3645.75,3649.96,-440.6414968557147,SESS,-2.0,3,False,2025-09
