entry_time,exit_time,session,dir,entry_px,exit_px,tp,sl,atr_at_entry,macro_bias,n_signals,raw_pnl%,net_pnl%,pnl_usd,equity,exit,bars,month
2026-04-07 08:00,2026-04-07 09:00,London,LONG,4690.1,4710.05,4710.05,4680.13,13.3,LONG,2,0.4254,0.4094,0.04,10000.04,TP,4,2026-04
2026-04-07 09:00,2026-04-07 09:30,London,LONG,4712.2,4701.94,4732.73,4701.94,13.69,LONG,2,-0.2178,-0.2338,-0.02,10000.02,SL,2,2026-04
2026-04-07 16:15,2026-04-07 19:45,NY,LONG,4688.5,4719.75,4719.75,4672.87,20.84,LONG,2,0.6666,0.6506,0.04,10000.06,TP,14,2026-04
2026-04-08 08:30,2026-04-08 12:00,London,SHORT,4821.3,4832.22,4799.45,4832.22,14.56,SHORT,2,-0.2266,-0.2426,-0.02,10000.04,SL,14,2026-04
2026-04-08 13:30,2026-04-08 14:45,NY,SHORT,4801.3,4778.57,4778.57,4812.66,15.15,SHORT,2,0.4733,0.4573,0.04,10000.08,TP,5,2026-04
2026-04-08 14:45,2026-04-08 15:30,NY,SHORT,4762.2,4776.44,4733.72,4776.44,18.99,SHORT,2,-0.299,-0.315,-0.02,10000.06,SL,3,2026-04
2026-04-08 16:15,2026-04-08 18:15,NY,SHORT,4775.1,4750.03,4750.03,4787.64,16.71,SHORT,2,0.525,0.509,0.04,10000.1,TP,8,2026-04
2026-04-13 08:00,2026-04-13 08:30,London,LONG,4756.0,4750.11,4767.78,4750.11,7.85,LONG,2,-0.1238,-0.1398,-0.02,10000.07,SL,2,2026-04
2026-04-13 13:30,2026-04-13 14:15,NY,LONG,4750.0,4741.86,4766.29,4741.86,10.86,LONG,2,-0.1714,-0.1874,-0.02,10000.05,SL,3,2026-04
2026-04-13 16:30,2026-04-13 18:15,NY,LONG,4763.1,4752.55,4784.21,4752.55,14.07,LONG,2,-0.2216,-0.2376,-0.02,10000.03,SL,7,2026-04
2026-04-14 08:00,2026-04-14 10:30,London,LONG,4803.5,4796.06,4818.38,4796.06,9.92,LONG,2,-0.1549,-0.1709,-0.02,10000.0,SL,10,2026-04
2026-04-14 11:15,2026-04-14 12:00,London,LONG,4800.9,4793.2,4816.3,4793.2,10.26,LONG,2,-0.1604,-0.1764,-0.02,9999.98,SL,3,2026-04
2026-04-14 13:30,2026-04-14 16:15,NY,LONG,4816.7,4835.64,4835.64,4807.23,12.63,LONG,2,0.3933,0.3773,0.04,10000.02,TP,11,2026-04
2026-04-14 16:15,2026-04-14 17:30,NY,LONG,4839.8,4859.56,4859.56,4829.92,13.17,LONG,2,0.4082,0.3922,0.04,10000.06,TP,5,2026-04
2026-04-17 09:00,2026-04-17 10:30,London,LONG,4814.8,4808.95,4826.5,4808.95,7.8,LONG,2,-0.1215,-0.1375,-0.02,10000.04,SL,6,2026-04
2026-04-17 11:30,2026-04-17 12:15,London,LONG,4820.7,4831.17,4831.17,4815.47,6.98,LONG,2,0.2171,0.2011,0.04,10000.08,TP,3,2026-04
2026-04-17 13:30,2026-04-17 20:00,NY,LONG,4887.0,4874.14,4912.73,4874.14,17.15,LONG,2,-0.2632,-0.2792,-0.02,10000.05,SL,26,2026-04
2026-04-20 11:45,2026-04-21 03:30,London,LONG,4830.9,4815.74,4861.22,4815.74,20.21,LONG,2,-0.3138,-0.3298,-0.02,10000.03,SL,59,2026-04
