month,n,pnl,wr,roi%
2023-12,1,10.5,100.0,0.1
2024-01,1,-68.91,0.0,-0.69
2024-03,1,100.99,100.0,1.01
2024-04,4,71.09,75.0,0.71
2024-07,2,-220.9,0.0,-2.21
2024-08,1,-42.91,0.0,-0.43
2024-09,2,166.72,100.0,1.67
2024-10,2,-50.959999999999994,50.0,-0.51
2025-01,1,-86.23,0.0,-0.86
2025-02,1,-20.74,0.0,-0.21
2025-03,1,22.38,100.0,0.22
2025-05,1,-25.3,0.0,-0.25
2025-07,2,151.68,100.0,1.52
2025-09,1,-33.88,0.0,-0.34
2025-11,3,435.56,66.7,4.36
2025-12,3,495.54,100.0,4.96
2026-01,3,397.1,33.3,3.97
2026-02,3,-479.62,33.3,-4.8
2026-03,2,-85.75,50.0,-0.86
