entry_time,exit_time,dir,entry_px,exit_px,atr_entry,sl,tp1,tp2,tp1_hit,tp1_pct,exit_pct,total_usd,equity,exit,bars,vwap_dev,trend,month
2023-12-26 14:00,2023-12-26 17:00,LONG,2068.3,2068.9,3.79,2065.46,2073.98,2077.76,False,0.0,0.021,10.5,10010.5,TIME,3,-1.903,LONG,2023-12
2024-01-26 14:00,2024-01-26 15:00,LONG,2020.1,2017.48,3.49,2017.48,2025.34,2028.83,False,0.0,-0.1377,-68.91,9941.59,SL,1,-2.218,LONG,2024-01
2024-03-21 14:00,2024-03-21 17:00,LONG,2178.4,2183.0,7.35,2172.89,2189.42,2196.77,False,0.0,0.2032,100.99,10042.58,TIME,3,-2.273,LONG,2024-03
2024-04-01 14:00,2024-04-01 17:00,LONG,2256.7,2259.7,8.41,2250.39,2269.31,2277.72,False,0.0,0.1249,62.73,10105.32,TIME,3,-1.876,LONG,2024-04
2024-04-09 15:00,2024-04-09 17:00,LONG,2359.1,2365.8,9.06,2352.31,2372.69,2381.74,False,0.0,0.276,139.46,10244.77,SESS,2,-2.125,LONG,2024-04
2024-04-12 16:00,2024-04-12 17:00,LONG,2386.1,2375.5,14.14,2375.5,2407.3,2421.44,False,0.0,-0.4523,-231.69,10013.08,SL,1,-2.331,LONG,2024-04
2024-04-26 14:00,2024-04-26 17:00,LONG,2345.3,2350.2,7.67,2339.55,2356.81,2364.48,False,0.0,0.2009,100.59,10113.67,TIME,3,-1.77,LONG,2024-04
2024-07-17 14:00,2024-07-17 16:00,LONG,2468.0,2460.77,9.64,2460.77,2482.45,2492.09,False,0.0,-0.3008,-152.12,9961.55,SL,2,-2.615,LONG,2024-07
2024-07-17 16:00,2024-07-17 17:00,LONG,2459.9,2456.7,9.31,2452.92,2473.86,2483.17,False,0.0,-0.1381,-68.78,9892.78,SESS,1,-2.677,LONG,2024-07
2024-08-02 14:00,2024-08-02 17:00,LONG,2474.4,2470.5,37.79,2446.06,2531.09,2568.88,False,0.0,-0.1656,-42.91,9849.87,TIME,3,-1.52,LONG,2024-08
2024-09-16 14:00,2024-09-16 17:00,LONG,2607.7,2610.1,5.84,2603.32,2616.45,2622.29,False,0.0,0.084,41.39,9891.26,TIME,3,-1.629,LONG,2024-09
2024-09-25 16:00,2024-09-25 17:00,LONG,2677.8,2684.8,6.69,2672.79,2687.83,2694.51,False,0.0,0.2534,125.33,10016.58,SESS,1,-1.722,LONG,2024-09
2024-10-21 14:00,2024-10-21 15:00,LONG,2739.9,2734.87,6.71,2734.87,2749.96,2756.67,False,0.0,-0.1916,-95.96,9920.63,SL,1,-1.915,LONG,2024-10
2024-10-21 15:00,2024-10-21 17:00,LONG,2734.8,2737.5,6.86,2729.66,2745.09,2751.94,False,0.0,0.0907,45.0,9965.63,SESS,2,-2.262,LONG,2024-10
2025-01-03 14:00,2025-01-03 16:00,LONG,2661.5,2657.11,5.86,2657.11,2670.29,2676.14,False,0.0,-0.1731,-86.23,9879.4,SL,2,-1.706,LONG,2025-01
