date,dir,entry,exit,pnl,reason,score,bars,win,month
2025-04-10,LONG,3087.69995,3081.296220967625,-299.99999999999886,SL,2.0,1,False,2025-04
2025-04-10,LONG,3115.57007,3125.96997,513.6668335972206,SESS,2.0,0,True,2025-04
2025-04-11,LONG,3207.23999,3219.20996,497.2175482364822,TIME,10.0,6,True,2025-04
2025-04-11,LONG,3208.62988,3208.62988,385.5918377460157,SL,10.0,3,True,2025-04
2025-04-14,LONG,3232.040039,3232.6499,35.76044145526847,TIME,6.0,6,True,2025-04
2025-04-14,LONG,3230.1499,3226.0549988304656,-345.5348549634347,SL,6.0,2,False,2025-04
2025-04-23,LONG,3385.3,3373.497714529136,-335.168809314526,SL,2.0,1,False,2025-04
2025-04-28,SHORT,3293.7,3299.6424821436012,-325.11374503508017,SL,-2.0,6,False,2025-04
2025-04-28,SHORT,3298.4,3294.2,526.0049015258606,SESS,-2.0,1,True,2025-04
2025-05-06,LONG,3326.76,3339.5574854119573,867.6500776563221,TP2,2.0,2,True,2025-05
2025-05-06,LONG,3358.29,3356.82,-63.834541042093115,TIME,2.0,6,False,2025-05
2025-05-08,LONG,3380.25,3393.3273617722375,928.7400584389978,TP2,2.0,1,True,2025-05
2025-05-08,LONG,3398.69,3392.394364866916,-394.47011955803157,SL,2.0,3,False,2025-05
2025-05-13,SHORT,3238.36,3235.26,206.88381853318873,TIME,-6.0,6,True,2025-05
2025-05-21,LONG,3297.99,3292.9053904307634,-388.84253052729724,SL,6.0,1,False,2025-05
2025-05-21,LONG,3297.61,3291.7067627870233,-377.17725461146534,SL,6.0,1,False,2025-05
2025-05-22,LONG,3335.28,3337.78,238.99441958463328,TIME,6.0,6,True,2025-05
2025-05-22,LONG,3335.95,3333.17,-362.6304690716329,SESS,6.0,0,False,2025-05
2025-05-23,LONG,3302.8,3299.409474575507,-362.15285548851784,SL,2.0,1,False,2025-05
2025-05-23,LONG,3299.22,3294.2758012748486,-351.28826982387557,SL,2.0,1,False,2025-05
2025-05-27,LONG,3345.11,3342.5903578047823,-340.7496217291215,SL,10.0,1,False,2025-05
2025-05-27,LONG,3340.71,3337.3112360028213,-330.52713307726714,SL,10.0,3,False,2025-05
2025-06-02,LONG,3311.26,3307.577587219909,-320.6113190849593,SL,2.0,3,False,2025-06
2025-06-02,LONG,3308.46,3304.5807707149193,-310.99297951239686,SL,2.0,4,False,2025-06
2025-06-03,LONG,3377.0,3373.25620185735,-301.663190127016,SL,6.0,2,False,2025-06
2025-06-04,LONG,3360.37,3356.7874655632513,-292.61329442321284,SL,2.0,4,False,2025-06
2025-06-05,LONG,3377.62,3374.003174567042,-283.83489559052174,SL,6.0,1,False,2025-06
2025-06-06,LONG,3361.91,3361.91,330.3838184673678,SL,6.0,2,True,2025-06
2025-06-06,LONG,3361.34,3372.3549534178733,747.6952905048449,TP2,6.0,5,True,2025-06
2025-06-09,SHORT,3306.61,3306.61,381.08848385519883,SL,-2.0,5,True,2025-06
2025-06-09,SHORT,3305.45,3310.5837890066045,-340.43904557730457,SL,-2.0,4,False,2025-06
2025-06-12,LONG,3365.71,3374.26,660.4895229644574,TIME,6.0,6,True,2025-06
2025-06-12,LONG,3370.2,3374.59,444.52249408063227,TIME,6.0,6,True,2025-06
2025-06-13,LONG,3406.53003,3426.319894867821,950.6697276886971,TP2,10.0,3,True,2025-06
2025-06-13,LONG,3426.86,3420.856475304497,-403.78445802357794,SL,10.0,6,False,2025-06
