date,dir,entry,exit,pnl,reason,score,bars,bear_period
2024-01-31,LONG,2048.3501,2050.18994,203.1530720210509,SESS,6.0,2,False
2024-02-05,SHORT,2017.53003,2019.3364637005418,-306.09459216063664,SL,-2.0,1,False
2024-02-05,SHORT,2017.90002,2020.3693011361618,-296.9117543958129,SL,-2.0,2,False
2024-02-07,LONG,2038.38,2035.68994,-309.0815053814398,SESS,10.0,3,False
2024-02-08,SHORT,2023.13,2025.0126387132852,-278.731956602511,SL,-2.0,1,False
2024-02-08,SHORT,2028.43005,2030.8600959295827,-270.3699979044078,SL,-2.0,2,False
2024-02-09,SHORT,2029.77002,2023.60999,592.3337652179101,TIME,-6.0,6,False
2024-02-14,SHORT,1990.34998,1991.9581586725337,-289.4702312506513,SL,-10.0,2,False
2024-02-14,SHORT,1989.29004,1991.489604988146,-280.786124313136,SL,-10.0,2,False
2024-02-21,LONG,2029.46997,2028.0933254906356,-272.362540583714,SL,6.0,2,False
2024-02-23,LONG,2025.38,2030.3618131409244,669.2855497277671,TP2,2.0,6,False
2024-02-29,LONG,2047.85999,2045.397723580616,-284.270230858043,SL,2.0,5,False
2024-02-29,LONG,2044.89001,2045.40002,65.66727731967615,SESS,2.0,1,False
2024-03-01,LONG,2051.67993,2049.8649237290956,-277.7121422519154,SL,6.0,1,False
2024-03-05,LONG,2128.53003,2128.53003,323.2569335812116,SL,6.0,5,False
2024-03-06,LONG,2140.40991,2146.86011,548.7097183148137,SESS,6.0,4,False
2024-03-08,LONG,2169.63989,2177.15991,456.4531303455344,TIME,10.0,6,False
2024-03-11,LONG,2181.28003,2184.38989,376.06241266205336,TIME,6.0,6,False
2024-03-11,LONG,2181.46997,2183.19995,257.6113326441725,SESS,6.0,1,False
2024-03-19,SHORT,2151.8501,2154.122657343808,-348.3372348022031,SL,-6.0,2,False
2024-03-19,SHORT,2152.73999,2154.8130607863504,-337.88711775810276,SL,-6.0,3,False
2024-03-27,LONG,2190.34009,2191.8501,206.62553472805493,SESS,6.0,4,False
2024-03-28,LONG,2206.87988,2214.31006,645.2661316548965,TIME,6.0,6,False
2024-04-02,LONG,2265.8999,2261.3043769450915,-365.3294279464732,SL,2.0,1,False
2024-04-03,LONG,2276.13989,2287.1487180912604,897.7361809405019,TP2,6.0,4,False
2024-04-04,LONG,2292.97998,2289.7130606264654,-381.3016305363258,SL,10.0,5,False
2024-04-09,LONG,2352.88989,2347.6524945543647,-369.86258162021255,SL,2.0,1,False
2024-04-12,LONG,2411.18994,2404.331669832201,-358.76670417161944,SL,2.0,1,False
2024-04-25,SHORT,2321.26001,2325.764439464806,-348.0037030464528,SL,-2.0,1,False
2024-05-06,LONG,2322.97998,2319.264899529967,-337.5635919550578,SL,2.0,6,False
2024-05-08,LONG,2313.77002,2316.76001,538.1460469762071,TIME,6.0,6,False
2024-05-09,LONG,2329.40991,2330.51001,83.16525663718254,TIME,2.0,6,False
2024-05-09,LONG,2331.42993,2332.27002,87.63975714975989,SESS,2.0,0,False
2024-05-14,LONG,2350.6499,2351.40991,72.5827998943041,TIME,10.0,6,False
2024-05-14,LONG,2349.02002,2353.44995,575.614792273762,SESS,10.0,1,False
2024-05-21,LONG,2427.57007,2424.2892288595913,-379.9388644154279,SL,2.0,5,False
2024-05-24,SHORT,2339.27002,2334.26001,704.8393073057234,TIME,-2.0,6,False
2024-05-31,LONG,2342.21997,2337.879727314491,-402.95334284749975,SL,6.0,1,False
2024-07-03,LONG,2358.6001,2363.1001,467.0655493071624,TIME,10.0,6,False
2024-07-03,LONG,2360.96997,2358.166050572798,-404.87670904130687,SL,10.0,2,False
2024-07-05,LONG,2378.27002,2384.81006,684.1417938551924,TIME,10.0,6,False
2024-07-08,LONG,2375.1001,2372.4638756046393,-427.3929562654566,SL,10.0,2,False
2024-07-09,LONG,2362.69995,2359.27946848775,-414.5711675774696,SL,6.0,2,False
2024-07-11,LONG,2413.57007,2412.62012,-89.39931459932393,SESS,10.0,1,False
2024-07-17,LONG,2469.36011,2464.10866137992,-399.4520531121961,SL,6.0,2,False
2024-07-18,LONG,2464.13989,2461.316213423058,-387.46849151884186,SL,6.0,1,False
2024-07-19,SHORT,2404.27002,2398.77002,522.8590060010533,SESS,-2.0,5,False
2024-07-22,SHORT,2394.1499,2386.02002,876.8644782499896,TIME,-2.0,6,False
2024-07-22,SHORT,2388.36011,2391.153642113735,-431.9312287510975,SL,-2.0,1,False
2024-07-25,SHORT,2366.31006,2363.22998,253.42778467138098,TIME,-2.0,6,False
2024-07-25,SHORT,2363.93994,2363.42993,57.74836831491486,SESS,-2.0,0,False
2024-07-30,LONG,2391.77002,2388.9283940938003,-428.3085764781403,SL,2.0,1,False
2024-07-31,LONG,2422.6499,2427.1499,642.8639522238261,TIME,6.0,6,False
2024-08-01,LONG,2451.31006,2446.452844815601,-434.74523775052444,SL,10.0,1,False
2024-08-01,LONG,2445.94995,2438.65991,-717.4873275357484,SESS,10.0,2,False
2024-08-12,LONG,2448.65991,2458.7343758704546,1013.7849273395684,TP2,10.0,3,False
2024-08-13,LONG,2472.1001,2468.628397531331,-430.59180861212883,SL,6.0,1,False
2024-08-13,LONG,2471.060059,2467.904513476392,-417.674054353734,SL,6.0,2,False
2024-08-20,LONG,2527.88989,2524.354748099105,-405.14383272313506,SL,10.0,1,False
2024-09-03,SHORT,2481.3999,2484.31006,-228.68825605500416,TIME,-2.0,6,False
2024-09-03,SHORT,2486.1499,2487.23999,-126.39511803882715,SESS,-2.0,0,False
2024-09-05,LONG,2513.81006,2513.81006,458.8044198223661,SL,2.0,2,False
2024-09-09,SHORT,2497.18994,2499.888578848298,-409.86528170796174,SL,-2.0,2,False
2024-09-12,LONG,2544.42993,2553.43994,754.3245613091171,TIME,2.0,6,False
2024-09-12,LONG,2547.060059,2552.71997,575.6939364376949,SESS,2.0,2,False
2024-09-13,LONG,2577.40991,2574.118363747805,-451.78237382637764,SL,6.0,4,False
2024-09-13,LONG,2577.36011,2583.72998,878.4583037749658,SESS,6.0,5,False
2024-09-18,SHORT,2571.1001,2572.48999,-273.99178469561764,SESS,-2.0,2,False
2024-09-20,LONG,2611.96997,2623.3347529607145,1196.085817984243,TP2,2.0,3,False
2024-09-23,LONG,2630.47998,2627.3477719708576,-508.02171321751865,SL,6.0,1,False
2024-09-23,LONG,2629.43994,2626.785671191099,-492.7810618209814,SL,6.0,1,False
2024-09-25,LONG,2663.40991,2660.4881281034754,-477.99762996640413,SL,10.0,3,False
2024-09-25,LONG,2660.38989,2657.021818480906,-463.65770106739024,SL,10.0,1,False
2024-10-02,LONG,2656.22998,2652.5843437148123,-449.74797003533445,SL,6.0,1,False
2024-10-09,SHORT,2609.88989,2612.9026814835374,-436.25553093428897,SL,-2.0,1,False
2024-10-09,SHORT,2611.21997,2607.65991,505.55267843912276,SESS,-2.0,1,False
2024-10-16,LONG,2678.59009,2675.139413845905,-438.33444535946353,SL,10.0,2,False
2024-10-17,LONG,2690.22998,2686.802218211432,-425.1844119986537,SL,6.0,2,False
2024-10-18,LONG,2714.6001,2718.37988,502.7772197342035,SESS,2.0,4,False
2024-10-25,LONG,2737.15991,2734.1182292243866,-427.51219623073905,SL,6.0,2,False
2024-11-13,SHORT,2605.46997,2591.2128543446283,1050.5399702043046,TP2,-10.0,3,False
2024-11-19,LONG,2629.8999,2626.221558406928,-446.20302944994916,SL,2.0,1,False
2024-12-02,LONG,2647.8501,2644.363907696714,-432.81693856640845,SL,2.0,2,False
2024-12-02,LONG,2645.48999,2641.710720402288,-419.83243040943364,SL,2.0,2,False
2024-12-04,LONG,2650.6001,2651.13989,68.22061856881095,SESS,6.0,0,False
