date,dir,entry,exit,pnl,reason,score,bars,win,month,year
2024-01-08,SHORT,2034.0999755859375,2034.0999755859375,0.0,SESS,-2.0,0,False,2024-01,2024
2024-01-30,LONG,2054.10009765625,2038.7131184495547,-300.0000000000001,SL,6.0,1,False,2024-01,2024
2024-02-05,SHORT,2034.0,2038.4156150506462,-291.000000000003,SL,-2.0,1,False,2024-02,2024
2024-02-15,LONG,2015.199951171875,2015.199951171875,0.0,SESS,2.0,0,False,2024-02,2024
2024-02-16,LONG,2019.699951171875,2025.300048828125,378.1902035490862,SESS,2.0,2,True,2024-02,2024
2024-02-29,LONG,2056.699951171875,2053.0419522737816,-293.6157061064639,SL,2.0,1,False,2024-02,2024
2024-03-01,LONG,2077.89990234375,2093.60009765625,623.5814890638809,SESS,6.0,2,True,2024-03,2024
2024-03-05,LONG,2139.39990234375,2139.39990234375,0.0,SESS,6.0,0,False,2024-03,2024
2024-03-06,LONG,2156.39990234375,2150.807250512616,-313.76774005243163,SL,6.0,1,False,2024-03,2024
2024-03-07,LONG,2163.5,2165.699951171875,134.45687577251533,SESS,10.0,1,True,2024-03,2024
2024-03-15,SHORT,2163.800048828125,2160.39990234375,260.28793287132805,SESS,-2.0,2,True,2024-03,2024
2024-04-01,LONG,2260.300048828125,2259.699951171875,-23.876578500251576,SESS,2.0,2,False,2024-04,2024
2024-04-02,LONG,2286.699951171875,2286.699951171875,0.0,SESS,2.0,0,False,2024-04,2024
2024-04-26,LONG,2348.5,2350.199951171875,82.56202076794052,SESS,2.0,2,True,2024-04,2024
2024-05-06,LONG,2333.39990234375,2327.030493465631,-317.95761537819783,SL,2.0,1,False,2024-05,2024
2024-05-09,LONG,2341.699951171875,2341.699951171875,0.0,SESS,2.0,0,False,2024-05,2024
2024-05-10,LONG,2371.39990234375,2376.300048828125,217.7966947273805,SESS,10.0,2,True,2024-05,2024
2024-05-13,SHORT,2342.0,2341.89990234375,5.9089124340756385,SESS,-2.0,2,True,2024-05,2024
2024-05-14,LONG,2360.0,2361.60009765625,92.6377123892918,SESS,10.0,1,True,2024-05,2024
2024-06-18,LONG,2341.699951171875,2344.60009765625,163.61252767748036,SESS,2.0,2,True,2024-06,2024
2024-06-24,SHORT,2340.10009765625,2344.504603036728,-322.8175623336922,SL,-2.0,1,False,2024-06,2024
2024-06-28,LONG,2339.0,2337.39990234375,-96.22325539302773,SESS,6.0,2,False,2024-06,2024
2024-07-01,LONG,2337.89990234375,2339.300048828125,75.65347052288519,SESS,2.0,2,True,2024-07,2024
2024-07-19,SHORT,2401.5,2400.800048828125,35.296793959426815,SESS,-2.0,1,True,2024-07,2024
2024-07-23,LONG,2406.5,2406.0,-33.01915472504877,SESS,2.0,2,False,2024-07,2024
2024-07-25,SHORT,2362.5,2355.300048828125,288.7736829955155,SESS,-2.0,2,True,2024-07,2024
2024-07-30,LONG,2445.10009765625,2451.0,93.4906931097757,SESS,2.0,1,True,2024-07,2024
2024-07-31,LONG,2472.0,2471.199951171875,-48.39929180699415,SESS,6.0,1,False,2024-07,2024
2024-08-13,LONG,2509.199951171875,2507.300048828125,-111.1543078651468,SESS,6.0,1,False,2024-08,2024
2024-08-27,SHORT,2547.5,2553.0649135524927,-319.2655943876153,SL,-2.0,2,False,2024-08,2024
2024-09-05,LONG,2540.699951171875,2545.5,291.87834702288495,SESS,2.0,1,True,2024-09,2024
2024-09-16,LONG,2611.300048828125,2610.10009765625,-84.04747524444575,SESS,10.0,1,False,2024-09,2024
2024-09-18,SHORT,2596.5,2600.9898066697215,-315.92255270933987,SL,-2.0,1,False,2024-09,2024
2024-09-18,SHORT,2594.0,2594.0,0.0,SESS,-2.0,0,False,2024-09,2024
2024-09-25,LONG,2684.800048828125,2684.800048828125,0.0,SESS,10.0,0,False,2024-09,2024
2024-10-04,SHORT,2673.39990234375,2670.10009765625,113.70043289365097,SESS,-6.0,2,True,2024-10,2024
2024-10-09,SHORT,2627.10009765625,2628.10009765625,-54.37399520201758,SESS,-2.0,1,False,2024-10,2024
2024-10-16,LONG,2690.39990234375,2691.699951171875,70.76376950823136,SESS,10.0,1,True,2024-10,2024
2024-10-18,LONG,2732.800048828125,2731.300048828125,-96.11578169794905,SESS,2.0,1,False,2024-10,2024
2024-11-04,SHORT,2748.0,2747.800048828125,11.0464703093032,SESS,-6.0,2,True,2024-11,2024
2024-11-13,SHORT,2591.5,2589.10009765625,96.84108503791438,SESS,-10.0,1,True,2024-11,2024
2024-11-19,LONG,2630.199951171875,2631.699951171875,76.97372468363726,SESS,2.0,1,True,2024-11,2024
2024-12-18,SHORT,2651.39990234375,2655.79498486569,-313.0099472940441,SL,-6.0,1,False,2024-12,2024
2024-12-23,SHORT,2628.199951171875,2628.199951171875,0.0,SESS,-2.0,0,False,2024-12,2024
2025-01-08,LONG,2681.5,2676.568005983859,-303.6196488752288,SL,2.0,2,False,2025-01,2025
2025-01-13,SHORT,2680.89990234375,2682.199951171875,-51.55163246490083,SESS,-2.0,2,False,2025-01,2025
2025-01-15,LONG,2712.0,2715.89990234375,171.84761586197192,SESS,10.0,1,True,2025-01,2025
2025-01-22,LONG,2770.5,2768.199951171875,-114.62240052298098,SESS,10.0,2,False,2025-01,2025
2025-02-13,LONG,2948.5,2948.5,0.0,SESS,6.0,0,False,2025-02,2025
2025-02-24,LONG,2958.800048828125,2958.5,-11.346997648870383,SESS,2.0,1,False,2025-02,2025
2025-02-28,SHORT,2855.300048828125,2855.300048828125,0.0,SESS,-6.0,0,False,2025-02,2025
2025-03-04,LONG,2926.199951171875,2922.10009765625,-143.07092030708085,SESS,2.0,1,False,2025-03,2025
2025-03-11,LONG,2922.800048828125,2923.800048828125,46.77163098625423,SESS,2.0,2,True,2025-03,2025
2025-03-14,LONG,2999.89990234375,2997.39990234375,-105.5421919473779,SESS,6.0,1,False,2025-03,2025
2025-03-17,LONG,3006.300048828125,3006.300048828125,0.0,SESS,6.0,0,False,2025-03,2025
2025-03-18,LONG,3039.5,3040.39990234375,41.9676946863678,SESS,10.0,2,True,2025-03,2025
2025-03-19,LONG,3040.10009765625,3038.60009765625,-76.73450694213716,SESS,6.0,2,False,2025-03,2025
2025-03-24,SHORT,3015.300048828125,3013.39990234375,84.57117738093476,SESS,-2.0,1,True,2025-03,2025
2025-04-11,LONG,3251.89990234375,3251.89990234375,0.0,SESS,10.0,0,False,2025-04,2025
2025-04-16,LONG,3341.199951171875,3344.0,69.2084395614918,SESS,6.0,2,True,2025-04,2025
2025-04-30,SHORT,3315.800048828125,3315.800048828125,0.0,SESS,-2.0,0,False,2025-04,2025
2025-05-06,LONG,3403.10009765625,3422.0,548.5613897162491,SESS,2.0,2,True,2025-05,2025
2025-05-07,LONG,3394.0,3393.60009765625,-11.352483605807693,SESS,10.0,1,False,2025-05,2025
2025-05-09,LONG,3346.10009765625,3346.10009765625,0.0,SESS,2.0,0,False,2025-05,2025
2025-05-14,SHORT,3185.60009765625,3185.60009765625,0.0,SESS,-2.0,0,False,2025-05,2025
2025-05-20,LONG,3282.0,3289.39990234375,226.53308941468165,SESS,6.0,1,True,2025-05,2025
2025-05-21,LONG,3318.800048828125,3318.800048828125,0.0,SESS,6.0,0,False,2025-05,2025
2025-06-02,LONG,3399.199951171875,3399.199951171875,0.0,SESS,2.0,0,False,2025-06,2025
2025-06-12,LONG,3406.5,3403.300048828125,-93.06702219562976,SESS,6.0,2,False,2025-06,2025
2025-06-13,LONG,3450.699951171875,3450.60009765625,-3.176476942768573,SESS,10.0,1,False,2025-06,2025
2025-07-10,LONG,3329.800048828125,3322.7149223315514,-322.3877674399369,SL,6.0,1,False,2025-07,2025
2025-07-10,LONG,3326.39990234375,3326.39990234375,0.0,SESS,6.0,0,False,2025-07,2025
2025-07-16,SHORT,3350.39990234375,3361.3701360329555,-312.7161344167329,SL,-2.0,1,False,2025-07,2025
2025-07-29,SHORT,3318.39990234375,3325.9376283720253,-303.3346503842412,SL,-10.0,2,False,2025-07,2025
2025-07-30,LONG,3352.199951171875,3354.89990234375,39.117484019004785,SESS,2.0,1,True,2025-07,2025
2025-08-15,SHORT,3384.800048828125,3382.39990234375,126.6564686516281,SESS,-6.0,1,True,2025-08,2025
2025-08-28,LONG,3473.39990234375,3475.89990234375,114.19843538783793,SESS,2.0,1,True,2025-08,2025
2025-09-03,LONG,3628.60009765625,3637.39990234375,325.6530349115378,SESS,2.0,2,True,2025-09,2025
2025-09-12,LONG,3687.800048828125,3687.300048828125,-26.503431647052082,SESS,10.0,1,False,2025-09,2025
2025-09-16,LONG,3726.89990234375,3723.800048828125,-132.6176686527626,SESS,10.0,1,False,2025-09,2025
2025-09-23,LONG,3811.5,3802.6552516656625,-307.62974055280927,SL,6.0,1,False,2025-09,2025
2025-09-26,LONG,3812.800048828125,3812.800048828125,0.0,SESS,2.0,0,False,2025-09,2025
2025-09-30,LONG,3873.800048828125,3872.199951171875,-34.69371025276774,SESS,10.0,1,False,2025-09,2025
2025-10-01,LONG,3897.60009765625,3887.39990234375,-271.999005406064,SESS,6.0,1,False,2025-10,2025
2025-10-06,LONG,3982.5,3982.5,0.0,SESS,2.0,0,False,2025-10,2025
2025-10-07,LONG,3999.89990234375,4003.89990234375,93.06213709428658,SESS,2.0,1,True,2025-10,2025
2025-10-10,SHORT,3997.5,4004.89990234375,-134.93586844173072,SESS,-2.0,1,False,2025-10,2025
2025-10-14,LONG,4154.2998046875,4164.2001953125,165.51327897581993,SESS,2.0,2,True,2025-10,2025
2025-10-15,LONG,4215.5,4200.807421504678,-292.9092532953225,SL,6.0,1,False,2025-10,2025
2025-11-04,SHORT,3965.300048828125,3965.300048828125,0.0,SESS,-6.0,0,False,2025-11,2025
2025-11-07,LONG,4015.800048828125,4002.771969175598,-284.1219756964586,SL,6.0,1,False,2025-11,2025
2025-11-10,LONG,4103.2001953125,4110.7001953125,187.75927737381352,SESS,6.0,1,True,2025-11,2025
2025-11-13,LONG,4206.60009765625,4206.2998046875,-5.3166748568930124,SESS,6.0,2,False,2025-11,2025
2025-11-20,SHORT,4069.5,4064.699951171875,74.41250532556597,SESS,-2.0,2,True,2025-11,2025
