entry_time,exit_time,dir,session,level,entry_px,exit_px,sl_dist%,tp1_hit,total_usd,equity,exit,bars,month
2025-01-08 16:30,2025-01-08 17:00,SHORT,NY_prime,RoundNum,2649.53,2650.98,0.0548,False,-54.92,9945.08,SL,2,2025-01
2025-01-09 14:30,2025-01-09 15:00,LONG,NY_open,VWAP,2661.57,2659.36,0.083,False,-68.62,9876.46,SL,2,2025-01
2025-01-10 16:30,2025-01-10 18:00,LONG,NY_prime,PrevHigh,2675.45,2676.19,0.1059,False,-13.5,9862.96,TIME,6,2025-01
2025-01-13 14:45,2025-01-13 16:15,LONG,NY_open,VWAP,2688.11,2685.43,0.1248,False,-76.29,9786.67,TIME,6,2025-01
2025-01-15 14:30,2025-01-15 16:00,LONG,NY_open,PrevHigh,2675.62,2675.22,0.0677,False,-34.23,9752.44,TIME,6,2025-01
2025-01-15 16:30,2025-01-15 20:00,LONG,NY_prime,SwingH,2677.42,2684.0,0.0982,True,64.31,9816.74,TP2,14,2025-01
2025-01-17 15:00,2025-01-17 16:15,LONG,NY_open,VWAP,2716.46,2714.24,0.0818,False,-67.14,9749.6,SL,5,2025-01
2025-01-20 14:30,2025-01-20 16:00,LONG,NY_open,SwingH,2703.59,2705.33,0.1321,False,4.56,9754.17,TIME,6,2025-01
2025-01-20 16:30,2025-01-20 18:15,LONG,NY_prime,SwingH,2707.09,2707.09,0.0823,True,9.27,9763.44,SL,7,2025-01
2025-01-22 14:30,2025-01-22 15:30,SHORT,NY_open,SwingH,2749.14,2751.84,0.0981,False,-74.74,9688.7,SL,4,2025-01
2025-01-22 16:30,2025-01-22 17:00,LONG,NY_prime,SwingH,2755.45,2752.46,0.1086,False,-79.24,9609.46,SL,2,2025-01
2025-01-23 14:45,2025-01-23 15:15,LONG,NY_open,RoundNum,2750.09,2752.47,0.0346,True,5.16,9614.62,TP2,2,2025-01
2025-01-27 16:30,2025-01-27 18:00,SHORT,NY_prime,SwingL,2753.87,2753.12,0.1226,False,-13.35,9601.28,TIME,6,2025-01
2025-01-28 16:30,2025-01-28 18:00,SHORT,NY_prime,VWAP,2742.06,2741.2,0.067,False,-11.35,9589.93,TIME,6,2025-01
2025-01-29 15:00,2025-01-29 15:15,SHORT,NY_open,SwingL,2761.72,2763.37,0.0596,False,-54.97,9534.96,SL,1,2025-01
2025-01-29 15:15,2025-01-29 16:30,LONG,NY_open,PrevHigh,2763.66,2761.16,0.0905,False,-69.35,9465.62,SL,5,2025-01
2025-01-29 16:30,2025-01-29 18:00,SHORT,NY_prime,VWAP,2760.29,2759.89,0.0943,False,-19.17,9446.45,TIME,6,2025-01
2025-01-30 15:00,2025-01-30 15:30,LONG,NY_open,SwingH,2762.98,2761.2,0.0645,False,-56.44,9390.01,SL,2,2025-01
2025-02-03 14:30,2025-02-03 15:00,SHORT,NY_open,SwingL,2773.86,2777.95,0.1474,False,-95.01,9295.0,SL,2,2025-02
2025-02-03 16:30,2025-02-03 17:15,SHORT,NY_prime,VWAP,2783.48,2786.31,0.1015,False,-72.73,9222.27,SL,3,2025-02
2025-02-04 14:45,2025-02-04 16:15,LONG,NY_open,SwingH,2821.5,2816.83,0.1765,False,-101.68,9120.59,TIME,6,2025-02
2025-02-05 14:30,2025-02-05 15:00,SHORT,NY_open,SwingH,2853.1,2855.73,0.0922,False,-67.13,9053.45,SL,2,2025-02
2025-02-05 15:00,2025-02-05 16:30,LONG,NY_open,SwingH,2857.76,2858.44,0.2461,False,-14.13,9039.33,TIME,6,2025-02
2025-02-05 16:30,2025-02-05 18:00,LONG,NY_prime,SwingH,2858.44,2856.96,0.1301,False,-48.26,8991.07,TIME,6,2025-02
2025-02-06 14:45,2025-02-06 16:15,LONG,NY_open,VWAP,2869.41,2868.77,0.151,False,-34.75,8956.32,TIME,6,2025-02
2025-02-06 16:30,2025-02-06 18:00,SHORT,NY_prime,VWAP,2867.83,2861.01,0.0951,True,56.37,9012.68,TP2,6,2025-02
2025-02-10 15:00,2025-02-10 16:30,LONG,NY_open,SwingH,2877.32,2878.59,0.1297,False,-4.89,9007.79,TIME,6,2025-02
2025-02-12 14:45,2025-02-12 15:45,LONG,NY_open,PrevLow,2889.1,2885.65,0.1194,False,-78.56,8929.23,SL,4,2025-02
2025-02-12 16:30,2025-02-12 20:45,LONG,NY_prime,PrevLow,2887.31,2887.31,0.1171,True,22.46,8951.69,SL,17,2025-02
2025-02-13 14:45,2025-02-13 16:00,SHORT,NY_open,SwingH,2916.63,2919.1,0.0847,False,-62.52,8889.17,SL,5,2025-02
2025-02-14 14:30,2025-02-14 16:00,SHORT,NY_open,VWAP,2924.27,2928.8,0.1953,False,-93.3,8795.87,TIME,6,2025-02
2025-02-17 14:30,2025-02-17 15:45,LONG,NY_open,SwingH,2903.42,2899.67,0.129,False,-80.92,8714.95,SL,5,2025-02
2025-02-17 16:45,2025-02-17 18:15,SHORT,NY_prime,VWAP,2896.35,2899.85,0.2468,False,-76.62,8638.33,TIME,6,2025-02
2025-02-18 14:30,2025-02-18 16:00,SHORT,NY_open,SwingH,2909.26,2911.79,0.0868,False,-61.27,8577.06,SL,6,2025-02
2025-02-18 16:30,2025-02-18 18:00,SHORT,NY_prime,SwingH,2912.51,2913.69,0.1416,False,-40.96,8536.1,TIME,6,2025-02
2025-02-19 16:30,2025-02-19 18:00,LONG,NY_prime,VWAP,2931.72,2934.27,0.1076,False,13.65,8549.75,TIME,6,2025-02
2025-02-20 16:30,2025-02-20 16:45,SHORT,NY_prime,SwingH,2944.0,2946.22,0.0755,False,-55.8,8493.95,SL,1,2025-02
2025-02-20 16:45,2025-02-20 18:15,LONG,NY_prime,PrevHigh,2946.81,2949.27,0.1231,False,12.09,8506.04,TIME,6,2025-02
2025-02-21 16:30,2025-02-21 18:00,LONG,NY_prime,SwingL,2930.66,2931.88,0.2553,False,-5.69,8500.36,TIME,6,2025-02
2025-02-24 14:30,2025-02-24 16:00,SHORT,NY_open,PrevHigh,2941.29,2940.98,0.1646,False,-18.9,8481.46,TIME,6,2025-02
2025-02-24 16:45,2025-02-24 18:15,SHORT,NY_prime,VWAP,2936.39,2939.96,0.1616,False,-74.88,8406.58,TIME,6,2025-02
2025-02-25 14:30,2025-02-25 18:30,SHORT,NY_open,SwingL,2943.06,2934.71,0.1135,True,67.69,8474.27,TP2,16,2025-02
2025-02-26 15:00,2025-02-26 16:30,SHORT,NY_open,VWAP,2915.77,2916.2,0.1518,False,-29.55,8444.72,TIME,6,2025-02
2025-02-26 16:30,2025-02-26 19:45,SHORT,NY_prime,VWAP,2916.2,2916.2,0.1791,True,44.79,8489.52,SL,13,2025-02
2025-02-27 15:15,2025-02-27 16:15,SHORT,NY_open,SwingL,2903.85,2894.67,0.1265,True,78.84,8568.36,TP2,4,2025-02
