time,dir,sess,level,entry,exit,t1hit,pnl,eq,xt,bars,month
2025-02-03 10:00,SHORT,,VWAP,2802.31,2797.81,True,22.21,10022.21,TP2,2,2025-02
2025-03-12 10:00,LONG,,VWAP,2917.59,2916.5,False,-37.03,9985.18,SL,3,2025-03
2025-03-20 10:00,LONG,,RoundNum,3049.77,3053.95,True,15.67,10000.85,TP2,5,2025-03
2025-04-21 10:00,LONG,,RoundNum,3354.12,3360.5,True,30.41,10031.26,TP2,3,2025-04
2025-04-29 09:00,LONG,London,VWAP,3337.05,3336.6,False,-27.48,10003.78,TIME,5,2025-04
2025-05-16 09:00,LONG,London,RoundNum,3247.97,3245.46,False,-52.92,9950.86,SL,1,2025-05
2025-05-22 09:15,LONG,London,PrevHigh,3322.51,3320.64,False,-44.25,9906.61,SL,2,2025-05
2025-05-26 09:00,SHORT,London,RoundNum,3348.51,3343.87,True,15.99,9922.6,TP2,3,2025-05
2025-05-28 09:15,LONG,London,VWAP,3308.37,3312.08,True,8.81,9931.41,TP2,5,2025-05
2025-05-31 09:15,SHORT,London,VWAP,3292.5,3294.24,False,-42.85,9888.55,SL,1,2025-05
2025-05-31 09:30,SHORT,London,VWAP,3295.7,3295.7,True,-5.6,9882.95,SL,6,2025-05
2025-06-05 09:30,LONG,London,VWAP,3375.5,3379.5,True,10.51,9893.46,TP2,3,2025-06
2025-06-11 10:00,LONG,,VWAP,3328.28,3333.25,True,18.89,9912.35,TP2,4,2025-06
2025-06-12 10:00,LONG,,PrevHigh,3365.06,3371.63,True,31.48,9943.82,TP2,8,2025-06
2025-06-13 09:45,LONG,London,PrevHigh,3395.77,3400.5,True,16.25,9960.08,TP2,2,2025-06
2025-06-16 09:00,LONG,London,VWAP,3455.7,3452.53,False,-58.41,9901.67,SL,1,2025-06
2025-06-26 09:45,LONG,London,PrevHigh,3339.13,3338.19,False,-32.91,9868.76,SL,1,2025-06
2025-07-02 09:30,LONG,London,VWAP,3338.61,3338.61,True,-7.31,9861.46,SL,4,2025-07
2025-07-17 10:00,LONG,,VWAP,3344.03,3342.45,False,-40.37,9821.08,SL,2,2025-07
2025-07-21 10:00,LONG,,RoundNum,3350.36,3352.65,True,-3.11,9817.97,TP2,2,2025-07
2025-07-22 10:00,LONG,,PrevHigh,3391.47,3391.47,True,-7.58,9810.4,SL,6,2025-07
2025-08-04 10:00,LONG,,VWAP,3361.84,3360.19,False,-40.86,9769.54,SL,1,2025-08
2025-08-05 09:15,LONG,London,VWAP,3379.99,3378.85,False,-34.63,9734.91,SL,2,2025-08
2025-08-06 09:00,LONG,London,VWAP,3381.8,3383.75,True,-5.98,9728.93,TP2,2,2025-08
2025-08-09 09:45,SHORT,London,VWAP,3385.75,3385.39,False,-17.27,9711.66,TIME,5,2025-08
2025-08-11 09:30,LONG,London,VWAP,3386.73,3385.81,False,-31.91,9679.75,SL,1,2025-08
2025-08-18 09:15,SHORT,London,PrevLow,3325.21,3325.21,True,-15.34,9664.42,SL,3,2025-08
2025-08-19 09:30,SHORT,London,VWAP,3331.56,3332.15,False,-28.16,9636.26,SL,2,2025-08
2025-08-19 10:00,SHORT,,VWAP,3334.96,3332.45,True,-1.28,9634.98,TP2,4,2025-08
2025-09-02 09:45,LONG,London,PrevHigh,3503.19,3506.22,True,1.7,9636.68,TP2,4,2025-09
2025-09-04 10:00,LONG,,PrevHigh,3572.83,3572.83,True,-8.64,9628.04,SL,5,2025-09
2025-09-12 09:30,LONG,London,VWAP,3633.45,3632.45,False,-31.76,9596.27,SL,1,2025-09
2025-09-22 09:30,LONG,London,PrevHigh,3692.58,3695.8,True,1.89,9598.16,TP2,6,2025-09
