entry_time,exit_time,dir,trend,entry_px,exit_px,n_sigs,net_pnl%,pnl_usd,equity,exit,bars,month
2025-05-20 13:30,2025-05-20 17:30,LONG,UPTREND,3211.78,3221.28,2,0.2799,139.95,10139.95,TP,16,2025-05
2025-05-21 13:30,2025-05-21 15:00,LONG,UPTREND,3307.14,3301.27,2,-0.1936,-98.16,10041.79,SL,6,2025-05
2025-05-21 15:30,2025-05-21 18:00,LONG,UPTREND,3312.44,3308.16,2,-0.1451,-72.85,9968.94,SL,10,2025-05
2025-05-22 14:45,2025-05-22 15:45,LONG,UPTREND,3338.57,3335.28,2,-0.1147,-57.16,9911.79,SL,4,2025-05
2025-05-23 13:30,2025-05-23 14:45,LONG,UPTREND,3303.5,3313.58,2,0.2891,143.29,10055.08,TP,5,2025-05
2025-05-23 14:45,2025-05-23 15:45,LONG,UPTREND,3313.7,3320.97,2,0.2033,102.23,10157.31,TP,4,2025-05
2025-05-23 15:45,2025-05-23 16:45,LONG,UPTREND,3322.6,3328.86,2,0.1724,87.58,10244.89,TP,4,2025-05
2025-05-23 16:45,2025-05-23 18:00,LONG,UPTREND,3329.59,3326.32,2,-0.1141,-58.47,10186.42,SL,5,2025-05
2025-05-27 13:30,2025-05-27 13:45,LONG,UPTREND,3353.1,3349.73,2,-0.1165,-59.32,10127.11,SL,1,2025-05
2025-05-28 15:30,2025-05-28 16:00,LONG,UPTREND,3307.2,3303.29,2,-0.1343,-67.99,10059.12,SL,2,2025-05
2025-05-28 16:45,2025-05-28 17:30,LONG,UPTREND,3309.1,3316.33,2,0.2025,101.83,10160.95,TP,3,2025-05
2025-05-29 13:45,2025-05-29 15:30,LONG,UPTREND,3278.0,3272.43,2,-0.1858,-94.4,10066.55,SL,7,2025-05
2025-05-29 16:30,2025-05-29 17:15,LONG,UPTREND,3275.7,3282.36,2,0.1872,94.25,10160.8,TP,3,2025-05
2025-05-30 14:45,2025-05-30 15:45,LONG,UPTREND,3298.1,3304.54,2,0.1792,91.06,10251.86,TP,4,2025-05
2025-05-30 16:45,2025-05-30 17:15,LONG,UPTREND,3301.65,3297.42,2,-0.1442,-73.92,10177.94,SL,2,2025-05
2025-06-02 13:45,2025-06-02 15:00,LONG,UPTREND,3311.2,3318.43,2,0.2025,103.04,10280.98,TP,5,2025-06
2025-06-02 15:00,2025-06-02 16:00,LONG,UPTREND,3318.63,3325.25,2,0.1834,94.29,10375.27,TP,4,2025-06
2025-06-02 16:00,2025-06-02 16:15,LONG,UPTREND,3327.93,3334.46,2,0.1801,93.41,10468.68,TP,1,2025-06
2025-06-02 16:15,2025-06-02 16:30,LONG,UPTREND,3337.43,3344.76,2,0.2035,106.53,10575.21,TP,1,2025-06
2025-06-02 16:30,2025-06-02 17:15,LONG,UPTREND,3344.89,3352.86,2,0.2222,117.5,10692.71,TP,3,2025-06
2025-06-03 15:45,2025-06-03 16:30,LONG,UPTREND,3364.95,3361.15,2,-0.1288,-68.87,10623.85,SL,3,2025-06
2025-06-05 16:00,2025-06-05 18:30,LONG,UPTREND,3368.02,3374.59,2,0.1791,95.12,10718.97,TP,10,2025-06
2025-06-06 13:30,2025-06-06 15:30,LONG,UPTREND,3370.21,3366.48,2,-0.1268,-67.96,10651.01,SL,8,2025-06
2025-06-09 13:30,2025-06-09 16:30,LONG,UPTREND,3308.76,3319.58,2,0.3111,165.65,10816.66,TP,12,2025-06
2025-06-09 16:30,2025-06-09 17:30,LONG,UPTREND,3320.14,3325.77,2,0.1535,83.01,10899.67,TP,4,2025-06
2025-06-10 13:45,2025-06-10 14:15,LONG,UPTREND,3307.75,3303.64,2,-0.1402,-76.42,10823.25,SL,2,2025-06
2025-06-10 16:00,2025-06-10 16:30,LONG,UPTREND,3321.51,3329.02,2,0.2101,113.71,10936.96,TP,2,2025-06
2025-06-10 16:30,2025-06-10 21:00,LONG,UPTREND,3329.15,3336.62,2,0.2083,113.88,11050.84,TP,18,2025-06
2025-06-11 13:30,2025-06-11 16:15,LONG,UPTREND,3341.01,3337.87,2,-0.11,-60.77,10990.07,SL,11,2025-06
2025-06-12 14:30,2025-06-12 16:15,LONG,UPTREND,3373.43,3370.03,2,-0.1167,-64.1,10925.97,SL,7,2025-06
2025-06-12 16:45,2025-06-12 17:00,LONG,UPTREND,3374.75,3371.9,2,-0.1004,-54.87,10871.11,SL,1,2025-06
2025-06-13 16:00,2025-06-13 16:30,LONG,UPTREND,3426.8,3421.78,2,-0.1625,-88.34,10782.76,SL,2,2025-06
2025-06-16 14:15,2025-06-16 14:30,LONG,UPTREND,3434.7,3430.64,2,-0.1342,-72.34,10710.42,SL,1,2025-06
