entry_time,exit_time,dir,trend,entry_px,exit_px,n_sigs,net_pnl%,pnl_usd,equity,exit,bars,month
2025-05-20 15:30,2025-05-20 16:00,SHORT,FORCED_SHORT,3211.75,3215.72,2,-0.1396,-69.79,9930.21,SL,2,2025-05
2025-05-20 16:30,2025-05-20 17:15,SHORT,FORCED_SHORT,3210.0,3213.96,2,-0.1393,-69.15,9861.06,SL,3,2025-05
2025-05-21 14:00,2025-05-21 15:30,SHORT,FORCED_SHORT,3305.03,3310.62,2,-0.1853,-91.34,9769.71,SL,6,2025-05
2025-05-22 13:45,2025-05-22 16:45,SHORT,FORCED_SHORT,3335.28,3326.58,2,0.2448,119.57,9889.29,TP,12,2025-05
2025-05-22 16:45,2025-05-22 17:15,SHORT,FORCED_SHORT,3326.38,3329.51,3,-0.11,-54.41,9834.88,SL,2,2025-05
2025-05-24 13:30,2025-05-24 14:45,SHORT,FORCED_SHORT,3355.0,3356.39,2,-0.0575,-28.28,9806.6,SL,5,2025-05
2025-05-24 15:30,2025-05-24 15:45,SHORT,FORCED_SHORT,3356.1,3357.03,2,-0.0436,-21.39,9785.21,SL,1,2025-05
2025-05-24 16:00,2025-05-24 17:45,SHORT,FORCED_SHORT,3356.8,3357.76,2,-0.0447,-21.88,9763.33,SL,7,2025-05
2025-05-26 16:15,2025-05-26 17:30,SHORT,FORCED_SHORT,3339.97,3334.35,2,0.1523,74.33,9837.65,TP,5,2025-05
2025-05-27 14:30,2025-05-27 15:15,SHORT,FORCED_SHORT,3340.3,3333.32,2,0.1931,94.98,9932.64,TP,3,2025-05
2025-05-27 15:15,2025-05-27 16:15,SHORT,FORCED_SHORT,3331.5,3324.27,2,0.201,99.8,10032.44,TP,4,2025-05
2025-05-27 16:15,2025-05-27 16:45,SHORT,FORCED_SHORT,3322.8,3313.88,2,0.2524,126.6,10159.03,TP,2,2025-05
2025-05-27 16:45,2025-05-27 17:45,SHORT,FORCED_SHORT,3313.3,3302.98,2,0.2955,150.1,10309.13,TP,4,2025-05
2025-05-28 13:30,2025-05-28 13:45,SHORT,FORCED_SHORT,3295.7,3299.8,2,-0.1404,-72.34,10236.79,SL,1,2025-05
2025-05-28 13:45,2025-05-28 15:15,SHORT,FORCED_SHORT,3300.0,3304.26,2,-0.1452,-74.34,10162.45,SL,6,2025-05
2025-05-29 16:00,2025-05-29 17:00,SHORT,FORCED_SHORT,3272.5,3276.22,2,-0.1298,-65.93,10096.52,SL,4,2025-05
2025-05-30 13:30,2025-05-30 15:30,SHORT,FORCED_SHORT,3299.3,3303.02,2,-0.1288,-65.02,10031.5,SL,8,2025-05
