entry_time,exit_time,dir,trend,entry_px,exit_px,n_sigs,net_pnl%,pnl_usd,equity,exit,bars,month
2026-03-17 14:15,2026-03-17 16:45,LONG,UPTREND,5032.32,5026.43,2,-0.133,-66.49,9933.51,SL,10,2026-03
2026-03-18 13:45,2026-03-18 16:30,SHORT,DOWNTREND,4991.47,4996.72,2,-0.1212,-60.18,9873.33,SL,11,2026-03
2026-03-19 16:30,2026-03-19 17:15,SHORT,DOWNTREND,4834.9,4824.33,2,0.2027,100.05,9973.38,TP,3,2026-03
2026-03-20 15:00,2026-03-20 16:45,SHORT,DOWNTREND,4718.18,4693.27,2,0.512,193.42,10166.81,TP,7,2026-03
2026-03-23 13:45,2026-03-23 17:00,SHORT,DOWNTREND,4363.36,4298.8,2,1.4636,201.14,10367.95,TP,13,2026-03
2026-03-24 14:30,2026-03-24 17:00,SHORT,DOWNTREND,4340.41,4364.05,2,-0.5608,-106.72,10261.22,SL,10,2026-03
2026-03-25 14:00,2026-03-25 17:00,SHORT,DOWNTREND,4575.56,4552.85,2,0.4803,198.61,10459.83,TP,12,2026-03
2026-03-26 13:45,2026-03-26 15:00,SHORT,DOWNTREND,4508.17,4517.38,2,-0.2202,-112.79,10347.04,SL,5,2026-03
2026-03-26 16:00,2026-03-26 16:15,SHORT,DOWNTREND,4508.8,4494.98,2,0.2905,150.31,10497.34,TP,1,2026-03
2026-03-26 16:15,2026-03-26 16:45,SHORT,DOWNTREND,4493.01,4478.24,2,0.3127,164.12,10661.47,TP,2,2026-03
2026-03-26 16:45,2026-03-26 17:00,SHORT,DOWNTREND,4445.38,4426.31,2,0.4131,205.28,10866.75,TP,1,2026-03
2026-03-31 13:30,2026-03-31 14:30,SHORT,DOWNTREND,4585.57,4555.39,3,0.642,212.05,11078.8,TP,4,2026-03
2026-04-01 15:00,2026-04-01 16:00,SHORT,DOWNTREND,4674.73,4683.92,2,-0.2126,-117.76,10961.03,SL,4,2026-04
2026-04-02 13:30,2026-04-02 16:30,SHORT,DOWNTREND,4678.12,4642.57,2,0.7439,214.6,11175.64,TP,12,2026-04
2026-04-02 16:30,2026-04-02 16:45,SHORT,DOWNTREND,4633.37,4609.74,2,0.4941,216.5,11392.14,TP,1,2026-04
2026-04-02 16:45,2026-04-02 18:00,SHORT,DOWNTREND,4594.06,4608.04,2,-0.3203,-119.91,11272.23,SL,5,2026-04
2026-04-06 13:30,2026-04-06 14:15,SHORT,DOWNTREND,4631.92,4644.45,2,-0.2865,-119.39,11152.84,SL,3,2026-04
2026-04-07 15:15,2026-04-07 15:45,SHORT,DOWNTREND,4632.86,4639.57,2,-0.1607,-89.6,11063.24,SL,2,2026-04
2026-04-07 15:45,2026-04-07 16:30,SHORT,DOWNTREND,4642.44,4649.38,2,-0.1654,-91.51,10971.73,SL,3,2026-04
2026-04-09 15:15,2026-04-09 15:45,LONG,UPTREND,4725.6,4719.79,2,-0.1388,-76.17,10895.56,SL,2,2026-04
2026-04-10 16:15,2026-04-10 18:30,SHORT,DOWNTREND,4755.01,4745.35,2,0.187,101.85,10997.41,TP,9,2026-04
2026-04-14 14:15,2026-04-14 15:00,LONG,UPTREND,4776.1,4771.03,2,-0.1222,-67.19,10930.22,SL,3,2026-04
2026-04-14 16:00,2026-04-14 16:45,LONG,UPTREND,4766.9,4775.84,2,0.1716,93.76,11023.98,TP,3,2026-04
2026-04-14 16:45,2026-04-14 17:15,LONG,UPTREND,4781.96,4777.02,2,-0.1192,-65.71,10958.27,SL,2,2026-04
2026-04-16 14:00,2026-04-16 16:15,LONG,UPTREND,4826.03,4821.17,2,-0.1168,-64.01,10894.26,SL,9,2026-04
2026-04-16 16:45,2026-04-16 17:45,LONG,UPTREND,4826.83,4822.37,2,-0.1083,-58.98,10835.28,SL,4,2026-04
2026-04-17 13:30,2026-04-17 16:15,LONG,UPTREND,4794.54,4787.39,3,-0.165,-89.39,10745.89,SL,11,2026-04
2026-04-21 13:30,2026-04-21 16:15,SHORT,DOWNTREND,4793.93,4784.08,2,0.1896,101.85,10847.74,TP,11,2026-04
2026-04-21 16:15,2026-04-21 17:00,SHORT,DOWNTREND,4777.2,4782.2,2,-0.1208,-65.54,10782.2,SL,3,2026-04
2026-04-22 14:00,2026-04-22 15:15,SHORT,DOWNTREND,4757.8,4762.49,2,-0.1144,-61.68,10720.52,SL,5,2026-04
2026-04-22 16:00,2026-04-22 16:45,SHORT,DOWNTREND,4762.72,4767.34,2,-0.113,-60.56,10659.96,SL,3,2026-04
2026-04-24 14:00,2026-04-24 15:30,SHORT,DOWNTREND,4671.19,4677.58,2,-0.1529,-81.52,10578.45,SL,6,2026-04
2026-04-24 16:15,2026-04-24 17:00,SHORT,DOWNTREND,4671.3,4676.94,2,-0.1367,-72.33,10506.12,SL,3,2026-04
2026-04-27 15:30,2026-04-27 17:00,SHORT,DOWNTREND,4711.32,4716.04,2,-0.1161,-60.99,10445.13,SL,6,2026-04
2026-04-28 13:45,2026-04-28 15:00,SHORT,DOWNTREND,4671.31,4662.71,2,0.1683,87.87,10533.0,TP,5,2026-04
2026-04-28 15:00,2026-04-28 15:15,SHORT,DOWNTREND,4651.86,4656.74,2,-0.1209,-63.66,10469.34,SL,1,2026-04
2026-04-28 15:15,2026-04-28 15:30,SHORT,DOWNTREND,4658.72,4650.09,2,0.1694,88.67,10558.01,TP,1,2026-04
2026-04-28 15:30,2026-04-28 15:45,SHORT,DOWNTREND,4627.48,4632.88,2,-0.1328,-70.09,10487.92,SL,1,2026-04
2026-04-28 15:45,2026-04-28 18:00,SHORT,DOWNTREND,4633.34,4622.13,2,0.2259,118.46,10606.38,TP,9,2026-04
2026-04-29 16:00,2026-04-29 17:15,SHORT,DOWNTREND,4588.77,4578.78,2,0.2017,106.95,10713.33,TP,5,2026-04
2026-04-30 14:15,2026-04-30 15:15,SHORT,DOWNTREND,4548.37,4554.36,2,-0.1478,-79.16,10634.18,SL,4,2026-04
2026-05-01 14:15,2026-05-01 15:45,SHORT,DOWNTREND,4619.31,4609.56,2,0.195,103.69,10737.87,TP,6,2026-05
2026-05-01 15:45,2026-05-01 16:15,SHORT,DOWNTREND,4605.11,4595.73,2,0.1876,100.71,10838.58,TP,2,2026-05
2026-05-01 16:15,2026-05-01 17:45,SHORT,DOWNTREND,4595.2,4585.96,2,0.1851,100.31,10938.9,TP,6,2026-05
2026-05-04 13:30,2026-05-04 13:45,SHORT,DOWNTREND,4602.83,4610.45,2,-0.1816,-99.35,10839.55,SL,1,2026-05
2026-05-04 14:30,2026-05-04 16:15,SHORT,DOWNTREND,4608.02,4593.7,3,0.2949,159.82,10999.37,TP,7,2026-05
2026-05-04 16:30,2026-05-04 20:00,SHORT,DOWNTREND,4586.4,4573.32,2,0.2692,148.03,11147.4,TP,14,2026-05
2026-05-06 13:45,2026-05-06 14:15,SHORT,DOWNTREND,4643.6,4649.34,2,-0.1395,-77.73,11069.67,SL,2,2026-05
2026-05-07 15:30,2026-05-07 16:15,LONG,UPTREND,4705.29,4712.92,2,0.146,80.84,11150.51,TP,3,2026-05
2026-05-07 16:15,2026-05-07 16:30,LONG,UPTREND,4715.8,4723.95,2,0.1568,87.42,11237.93,TP,1,2026-05
2026-05-07 16:30,2026-05-07 16:45,LONG,UPTREND,4745.8,4739.87,2,-0.1409,-79.19,11158.74,SL,1,2026-05
2026-05-07 16:45,2026-05-07 19:45,LONG,UPTREND,4738.85,4732.5,2,-0.1501,-83.74,11075.0,SL,12,2026-05
