entry_time,exit_time,dir,trend,entry_px,exit_px,n_sigs,net_pnl%,pnl_usd,equity,exit,bars,month
2026-02-27 13:30,2026-02-27 15:00,LONG,UPTREND,5234.0,5250.71,2,0.3033,151.67,10151.67,TP,6,2026-02
2026-02-27 15:00,2026-02-27 20:45,LONG,UPTREND,5255.7,5278.82,2,0.4239,195.65,10347.32,TP,23,2026-02
2026-03-02 13:45,2026-03-02 14:00,LONG,UPTREND,5409.8,5397.47,2,-0.2439,-110.74,10236.58,SL,1,2026-03
2026-03-02 15:30,2026-03-02 15:45,LONG,UPTREND,5357.2,5336.38,2,-0.4047,-106.58,10130.0,SL,1,2026-03
2026-03-03 15:30,2026-03-03 18:30,LONG,UPTREND,5072.0,5138.87,2,1.3024,200.14,10330.14,TP,12,2026-03
2026-03-04 13:30,2026-03-04 13:45,LONG,UPTREND,5199.9,5189.04,2,-0.2249,-111.21,10218.93,SL,1,2026-03
2026-03-05 15:45,2026-03-05 16:15,LONG,UPTREND,5111.3,5090.92,2,-0.4147,-106.29,10112.64,SL,2,2026-03
2026-03-06 14:45,2026-03-06 19:00,LONG,UPTREND,5139.3,5176.86,2,0.7149,197.83,10310.47,TP,17,2026-03
2026-03-09 15:45,2026-03-09 19:15,LONG,UPTREND,5108.5,5137.63,2,0.5543,200.42,10510.89,TP,14,2026-03
2026-03-10 13:30,2026-03-10 14:00,LONG,UPTREND,5218.4,5208.02,2,-0.2149,-112.91,10397.98,SL,2,2026-03
2026-03-10 14:45,2026-03-10 15:30,LONG,UPTREND,5215.8,5238.65,2,0.4222,200.37,10598.34,TP,3,2026-03
2026-03-10 15:30,2026-03-10 16:00,LONG,UPTREND,5245.7,5233.8,2,-0.2428,-113.46,10484.88,SL,2,2026-03
2026-03-12 15:45,2026-03-12 17:15,LONG,UPTREND,5138.0,5126.22,3,-0.2452,-112.17,10372.71,SL,6,2026-03
2026-03-13 15:30,2026-03-13 16:00,LONG,UPTREND,5051.9,5038.32,3,-0.2848,-109.9,10262.81,SL,2,2026-03
2026-03-13 16:30,2026-03-13 19:30,LONG,UPTREND,5048.6,5033.2,3,-0.321,-108.01,10154.8,SL,12,2026-03
