entry_time,exit_time,dir,trend,entry_px,exit_px,n_sigs,net_pnl%,pnl_usd,equity,exit,bars,month
2023-12-14 14:00,2023-12-14 17:00,LONG,UPTREND,2058.0,2053.38,2,-0.2406,-107.12,9892.88,SL,3,2023-12
2023-12-15 16:00,2023-12-15 18:00,LONG,UPTREND,2048.2,2044.7,2,-0.1871,-92.53,9800.35,SL,2,2023-12
2023-12-19 14:00,2023-12-20 01:00,LONG,UPTREND,2055.2,2052.3,2,-0.1573,-77.07,9723.28,SL,10,2023-12
2023-12-20 14:00,2023-12-20 15:00,LONG,UPTREND,2051.3,2048.72,2,-0.1419,-68.98,9654.31,SL,1,2023-12
2023-12-21 14:00,2023-12-21 23:00,LONG,UPTREND,2053.8,2060.09,2,0.2902,140.1,9794.4,TP,8,2023-12
2023-12-22 14:00,2023-12-22 15:00,LONG,UPTREND,2080.6,2077.09,2,-0.1849,-90.55,9703.85,SL,1,2023-12
2023-12-27 14:00,2023-12-27 15:00,LONG,UPTREND,2081.6,2086.93,2,0.2398,116.36,9820.21,TP,1,2023-12
2023-12-27 15:00,2023-12-28 02:00,LONG,UPTREND,2090.5,2096.94,2,0.292,143.39,9963.59,TP,10,2023-12
2023-12-29 16:00,2023-12-29 21:00,LONG,UPTREND,2075.7,2072.66,2,-0.1626,-81.0,9882.59,SL,5,2023-12
2024-01-05 15:00,2024-01-05 16:00,LONG,UPTREND,2061.9,2057.62,2,-0.2236,-106.44,9776.15,SL,1,2024-01
2024-01-05 16:00,2024-01-08 03:00,LONG,UPTREND,2051.8,2046.98,2,-0.251,-104.42,9671.73,SL,10,2024-01
2024-01-12 14:00,2024-01-12 16:00,LONG,UPTREND,2060.7,2057.01,2,-0.1951,-94.36,9577.38,SL,2,2024-01
2024-01-17 14:00,2024-01-18 18:00,SHORT,DOWNTREND,2015.4,2019.86,2,-0.2374,-102.69,9474.68,SL,27,2024-01
2024-01-24 15:00,2024-01-24 17:00,SHORT,DOWNTREND,2016.0,2019.68,2,-0.1983,-93.94,9380.74,SL,2,2024-01
2024-01-25 15:00,2024-01-25 16:00,LONG,UPTREND,2020.3,2016.65,2,-0.1966,-92.2,9288.54,SL,1,2024-01
2024-01-30 14:00,2024-01-30 15:00,LONG,UPTREND,2065.2,2055.12,2,-0.5042,-95.93,9192.61,SL,1,2024-01
2024-01-31 14:00,2024-01-31 18:00,LONG,UPTREND,2070.0,2067.16,2,-0.1532,-70.4,9122.21,SL,4,2024-01
2024-02-01 15:00,2024-02-02 13:00,LONG,UPTREND,2069.5,2064.95,2,-0.2358,-97.86,9024.35,SL,21,2024-02
2024-02-06 14:00,2024-02-06 15:00,LONG,UPTREND,2046.9,2052.25,2,0.2452,110.64,9134.99,TP,1,2024-02
2024-02-06 15:00,2024-02-07 05:00,LONG,UPTREND,2052.6,2049.57,2,-0.1635,-74.66,9060.33,SL,13,2024-02
2024-02-07 14:00,2024-02-07 15:00,LONG,UPTREND,2058.8,2056.37,2,-0.1339,-60.65,8999.68,SL,1,2024-02
2024-02-07 15:00,2024-02-07 18:00,LONG,UPTREND,2054.4,2051.62,2,-0.1513,-68.1,8931.58,SL,3,2024-02
2024-02-08 15:00,2024-02-09 13:00,LONG,UPTREND,2047.0,2043.07,2,-0.2081,-92.93,8838.65,SL,21,2024-02
2024-02-12 14:00,2024-02-12 17:00,SHORT,DOWNTREND,2028.7,2031.08,2,-0.1332,-58.89,8779.76,SL,3,2024-02
2024-02-13 14:00,2024-02-14 14:00,SHORT,DOWNTREND,2008.5,2000.82,2,0.3665,160.88,8940.64,TP,23,2024-02
2024-02-14 14:00,2024-02-14 16:00,SHORT,DOWNTREND,1999.9,2002.38,2,-0.14,-62.6,8878.05,SL,2,2024-02
2024-02-15 16:00,2024-02-15 17:00,SHORT,DOWNTREND,2011.7,2014.5,2,-0.1553,-68.93,8809.12,SL,1,2024-02
2024-02-20 14:00,2024-02-20 19:00,LONG,UPTREND,2039.6,2037.04,2,-0.1413,-62.23,8746.89,SL,5,2024-02
2024-02-23 14:00,2024-02-23 16:00,LONG,UPTREND,2037.1,2042.78,2,0.2628,114.92,8861.81,TP,2,2024-02
2024-02-23 16:00,2024-02-25 23:00,LONG,UPTREND,2048.3,2044.99,2,-0.1774,-78.59,8783.22,SL,6,2024-02
2024-02-28 14:00,2024-02-29 11:00,LONG,UPTREND,2041.0,2038.62,2,-0.1325,-58.21,8725.01,SL,20,2024-02
2024-02-29 14:00,2024-02-29 19:00,LONG,UPTREND,2056.2,2053.38,2,-0.153,-66.76,8658.25,SL,5,2024-02
