date,dir,entry,exit,pnl,reason,score,bars,win,month
2025-04-11,LONG,3232.91992,3224.6926605436934,-300.0000000000005,SL,10.0,2,False,2025-04
2025-04-11,LONG,3234.53003,3225.82007,-402.0296931657797,SESS,10.0,1,False,2025-04
2025-05-02,SHORT,3251.81,3258.7995034280534,-278.9391092050211,SL,-6.0,2,False,2025-05
2025-05-13,SHORT,3232.22,3238.4098323359226,-270.57093592887253,SL,-6.0,1,False,2025-05
2025-06-13,LONG,3435.82,3430.027436646629,-262.4538078510138,SL,10.0,2,False,2025-06
2025-06-13,LONG,3426.23,3420.8062131083525,-254.5801936154885,SL,10.0,1,False,2025-06
2025-07-01,LONG,3349.12012,3343.6289135451443,-246.94278780700847,SL,6.0,2,False,2025-07
2025-07-29,SHORT,3324.75,3327.757718582443,-239.53450417279097,SL,-10.0,1,False,2025-07
2025-08-04,LONG,3378.61,3375.637463631262,-232.34846904762728,SL,6.0,3,False,2025-08
2025-08-05,LONG,3380.6,3377.168550059685,-225.3780149761774,SL,6.0,1,False,2025-08
2025-08-15,SHORT,3332.43,3335.081976150732,-218.61667452690241,SL,-6.0,2,False,2025-08
2025-08-15,SHORT,3334.84,3328.96,481.54258000690055,SESS,-6.0,5,True,2025-08
2025-08-25,LONG,3360.29,3363.14,527.1421127774744,SESS,10.0,4,True,2025-08
2025-09-04,LONG,3554.62,3550.1692543262448,-249.95280934912128,SL,6.0,2,False,2025-09
2025-09-08,LONG,3636.53,3642.43,424.50849128384925,TIME,10.0,6,True,2025-09
2025-09-11,LONG,3627.08,3636.45,483.8741255873024,TIME,10.0,6,True,2025-09
2025-09-29,LONG,3836.95,3840.51,247.03842976994247,SESS,6.0,0,True,2025-09
2025-09-30,LONG,3845.17,3845.62,16.996511419234764,TIME,10.0,6,True,2025-09
2025-10-03,LONG,3879.68,3888.41,401.43429883715294,TIME,6.0,6,True,2025-10
2025-10-27,SHORT,3990.16,3992.62,-66.88688192879569,SESS,-6.0,2,False,2025-10
2025-11-04,SHORT,3970.74,3950.43565340311,774.9278398679196,TP2,-6.0,1,True,2025-11
2025-11-10,LONG,4082.64,4076.915925076273,-329.14040356495997,SL,6.0,1,False,2025-11
2025-11-10,LONG,4083.65,4077.9329107378458,-319.26619145801334,SL,6.0,1,False,2025-11
2025-11-28,LONG,4190.01807,4205.39043,676.4212206021077,TIME,10.0,6,True,2025-11
2025-12-03,LONG,4225.04317,4225.04317,409.35554128566207,SL,6.0,3,True,2025-12
2025-12-03,LONG,4221.37706,4211.67666,-427.898854010141,SESS,6.0,5,False,2025-12
2025-12-04,LONG,4196.43411,4213.29625,804.9578743081112,TIME,6.0,6,True,2025-12
2025-12-08,SHORT,4195.14871,4186.43785,496.1689908181589,SESS,-6.0,1,True,2025-12
2025-12-16,LONG,4319.02305,4311.915567293885,-404.59053399408333,SL,6.0,4,False,2025-12
2025-12-17,LONG,4331.24424,4331.24424,470.9433815691178,SL,6.0,5,True,2025-12
2026-01-02,SHORT,4370.49143,4346.188848549344,1065.7971995333037,TP2,-6.0,4,True,2026-01
2026-01-06,LONG,4475.87364,4488.35059,832.9260191856301,SESS,6.0,3,True,2026-01
2026-01-13,LONG,4614.21067,4605.918068866464,-477.67111742997764,SL,6.0,3,False,2026-01
2026-01-13,LONG,4607.83918,4607.38969,-23.655512974685177,SESS,6.0,0,False,2026-01
2026-01-21,LONG,4862.28516,4851.761476706703,-462.631318517813,SL,6.0,1,False,2026-01
2026-01-26,LONG,5077.67492,5094.75624,649.261713223684,SESS,10.0,0,True,2026-01
2026-02-02,SHORT,4692.57549,4703.66417,-136.8650743193996,SESS,-6.0,2,False,2026-02
2026-02-10,LONG,5055.97719,5045.799542081047,-464.12427812941473,SL,10.0,1,False,2026-02
2026-02-27,LONG,5224.64102,5253.725596526331,1140.5080594566994,TP2,6.0,6,True,2026-02
2026-03-19,SHORT,4616.65736,4577.69052,649.8680280568016,TIME,-10.0,6,True,2026-03
2026-03-19,SHORT,4608.45458,4583.97981,519.5244795459213,SESS,-10.0,0,True,2026-03
2026-03-25,SHORT,4556.74486,4552.77937,169.3431682512205,SESS,-6.0,4,True,2026-03
2026-04-01,LONG,4741.46048,4779.692937985303,1328.9305833403241,TP2,6.0,5,True,2026-04
2026-04-09,LONG,4766.2942,4757.162680123303,-564.4457793450741,SL,6.0,1,False,2026-04
2026-05-11,LONG,4732.80151,4728.11338,-244.2346235782657,TIME,6.0,6,False,2026-05
2026-05-14,SHORT,4684.73446,4676.64489,578.3798254502527,TIME,-6.0,6,True,2026-05
2026-05-19,SHORT,4496.45069,4502.08545,-220.44167677772037,TIME,-6.0,6,False,2026-05
2026-05-22,SHORT,4511.18916,4518.2154188386085,-550.9235117175317,SL,-10.0,2,False,2026-05
