date,dir,entry,exit,pnl,reason,score,bars,session,win,month
2024-03-05,LONG,2128.53003,2128.53003,359.9999999999957,SL,6.0,5,NY,True,2024-03
2024-03-06,LONG,2140.40991,2146.86011,611.078922283051,SESS,6.0,4,NY,True,2024-03
2024-03-08,LONG,2169.63989,2177.15991,508.33597010258,TIME,10.0,6,NY,True,2024-03
2024-03-27,LONG,2190.34009,2191.8501,231.21853301238573,SESS,6.0,4,NY,True,2024-03
2024-03-28,LONG,2206.87988,2214.31006,722.0670405532632,TIME,6.0,6,NY,True,2024-03
2024-04-03,LONG,2276.13989,2287.1487180912604,1035.656285584185,TP2,6.0,4,NY,True,2024-04
2024-04-04,LONG,2292.97998,2289.7130606264654,-439.881380245514,SL,10.0,5,NY,False,2024-04
2024-05-08,LONG,2313.77002,2316.76001,701.2617224106846,TIME,6.0,6,NY,True,2024-05
2024-05-14,LONG,2350.6499,2351.40991,93.23870136059493,TIME,10.0,6,NY,True,2024-05
2024-05-14,LONG,2349.02002,2353.44995,739.4255359907363,SESS,10.0,1,NY,True,2024-05
2024-05-31,LONG,2342.21997,2337.879727314491,-488.06337542913536,SL,6.0,1,NY,False,2024-05
2024-06-20,LONG,2351.47998,2356.37988,515.7087721898886,SESS,10.0,5,NY,True,2024-06
2024-07-03,LONG,2358.6001,2363.1001,584.2045343293364,TIME,10.0,6,NY,True,2024-07
2024-07-03,LONG,2360.96997,2358.166050572798,-506.4188733618588,SL,10.0,2,NY,False,2024-07
2024-07-05,LONG,2378.27002,2384.81006,855.7230108007036,TIME,10.0,6,NY,True,2024-07
2024-07-08,LONG,2375.1001,2372.4638756046393,-534.5821445428336,SL,10.0,2,NY,False,2024-07
2024-07-09,LONG,2362.69995,2359.27946848775,-518.5446802065195,SL,6.0,2,NY,False,2024-07
2024-07-11,LONG,2413.57007,2412.62012,-111.82046081611733,SESS,10.0,1,NY,False,2024-07
2024-07-17,LONG,2469.36011,2464.10866137992,-499.63372597587824,SL,6.0,2,NY,False,2024-07
2024-07-18,LONG,2464.13989,2461.316213423058,-484.6447141966165,SL,6.0,1,NY,False,2024-07
2024-07-31,LONG,2422.6499,2427.1499,727.4209145066973,TIME,6.0,6,NY,True,2024-07
2024-08-01,LONG,2451.31006,2446.452844815601,-491.9280002058845,SL,10.0,1,NY,False,2024-08
2024-08-01,LONG,2445.94995,2438.65991,-811.8596261893138,SESS,10.0,2,NY,False,2024-08
2024-08-12,LONG,2448.65991,2458.7343758704546,1147.129740915535,TP2,10.0,3,NY,True,2024-08
2024-08-13,LONG,2472.1001,2468.628397531331,-487.2282636415009,SL,6.0,1,NY,False,2024-08
2024-08-13,LONG,2471.060059,2467.904513476392,-472.61141573222073,SL,6.0,2,NY,False,2024-08
2024-08-20,LONG,2527.88989,2524.354748099105,-458.43307326026905,SL,10.0,1,NY,False,2024-08
2024-09-13,LONG,2577.40991,2574.118363747805,-444.6800810624644,SL,6.0,4,NY,False,2024-09
2024-09-13,LONG,2577.36011,2583.72998,864.6484067631402,SESS,6.0,5,NY,True,2024-09
