entry_time,exit_time,dir,entry_px,exit_px,n_sigs,macro,net_pnl%,pnl_usd,equity,exit,bars,month
2026-03-09 13:30,2026-03-09 14:30,SHORT,5084.7,5095.11,2,SHORT,-0.2207,-107.82,9892.18,SL,4,2026-03
2026-03-09 15:15,2026-03-09 18:30,SHORT,5107.5,5122.52,2,SHORT,-0.3101,-104.3,9787.88,SL,13,2026-03
2026-03-11 14:45,2026-03-11 22:30,SHORT,5190.8,5165.91,2,SHORT,0.4635,189.23,9977.11,TP,27,2026-03
2026-03-12 13:30,2026-03-12 14:45,SHORT,5166.5,5151.76,2,SHORT,0.2694,134.37,10111.48,TP,5,2026-03
2026-03-12 14:45,2026-03-12 17:00,SHORT,5148.8,5129.8,2,SHORT,0.353,178.44,10289.92,TP,9,2026-03
2026-03-13 14:30,2026-03-13 14:45,SHORT,5084.5,5065.9,2,SHORT,0.3498,179.98,10469.9,TP,1,2026-03
2026-03-13 14:45,2026-03-13 15:00,SHORT,5045.8,5057.07,2,SHORT,-0.2394,-112.2,10357.7,SL,1,2026-03
2026-03-13 15:00,2026-03-13 15:45,SHORT,5074.2,5048.49,2,SHORT,0.4908,200.61,10558.31,TP,3,2026-03
2026-03-13 15:45,2026-03-13 17:00,SHORT,5039.1,5053.67,2,SHORT,-0.3052,-111.43,10446.89,SL,5,2026-03
2026-03-16 15:15,2026-03-16 17:00,SHORT,4997.0,5007.75,2,SHORT,-0.2312,-112.24,10334.65,SL,7,2026-03
2026-03-17 14:45,2026-03-17 15:30,SHORT,5012.5,4994.77,2,SHORT,0.3378,174.53,10509.18,TP,3,2026-03
2026-03-17 15:30,2026-03-17 15:45,SHORT,4988.6,4999.33,2,SHORT,-0.231,-112.91,10396.27,SL,1,2026-03
2026-03-17 15:45,2026-03-18 00:00,SHORT,5002.6,5013.49,2,SHORT,-0.2337,-111.6,10284.67,SL,29,2026-03
2026-03-19 13:30,2026-03-19 13:45,SHORT,4561.6,4590.36,2,SHORT,-0.6464,-105.46,10179.21,SL,1,2026-03
2026-03-19 14:45,2026-03-19 19:00,SHORT,4603.5,4638.5,2,SHORT,-0.7763,-103.93,10075.27,SL,17,2026-03
2026-03-20 13:30,2026-03-20 13:45,SHORT,4662.9,4633.25,2,SHORT,0.6198,196.43,10271.71,TP,1,2026-03
2026-03-20 13:45,2026-03-20 14:15,SHORT,4617.0,4583.95,2,SHORT,0.6999,200.84,10472.55,TP,2,2026-03
2026-03-20 14:15,2026-03-20 16:00,SHORT,4560.6,4578.87,2,SHORT,-0.4167,-108.91,10363.64,SL,7,2026-03
2026-03-23 15:00,2026-03-23 15:45,SHORT,4466.5,4395.84,2,SHORT,1.566,205.18,10568.82,TP,3,2026-03
2026-03-24 13:30,2026-03-24 13:45,SHORT,4356.7,4377.61,2,SHORT,-0.496,-109.21,10459.61,SL,1,2026-03
2026-03-25 13:45,2026-03-25 14:15,SHORT,4543.3,4557.41,2,SHORT,-0.3266,-109.98,10349.63,SL,2,2026-03
2026-03-25 15:00,2026-03-25 19:00,SHORT,4548.1,4516.96,2,SHORT,0.6686,202.15,10551.78,TP,16,2026-03
2026-03-26 16:00,2026-03-26 16:15,SHORT,4436.0,4406.31,2,SHORT,0.6533,205.99,10757.77,TP,1,2026-03
2026-03-26 16:15,2026-03-27 01:30,SHORT,4392.3,4409.26,2,SHORT,-0.4021,-112.04,10645.74,SL,33,2026-03
2026-03-27 16:00,2026-03-27 17:30,SHORT,4558.6,4522.74,2,SHORT,0.7707,208.58,10854.32,TP,6,2026-03
2026-03-30 14:15,2026-03-30 14:45,SHORT,4549.0,4563.54,2,SHORT,-0.3356,-113.98,10740.34,SL,2,2026-03
2026-03-30 16:15,2026-03-30 18:45,SHORT,4566.6,4539.02,2,SHORT,0.5879,209.12,10949.46,TP,10,2026-03
2026-04-08 13:30,2026-04-08 14:45,SHORT,4801.3,4778.57,2,SHORT,0.4573,211.59,11161.04,TP,5,2026-04
2026-04-08 14:45,2026-04-08 15:30,SHORT,4762.2,4776.44,2,SHORT,-0.315,-117.58,11043.46,SL,3,2026-04
2026-04-08 16:15,2026-04-08 18:15,SHORT,4775.1,4750.03,2,SHORT,0.509,214.14,11257.6,TP,8,2026-04
2026-04-16 13:45,2026-04-16 14:00,SHORT,4815.9,4823.02,2,SHORT,-0.1639,-92.28,11165.32,SL,1,2026-04
2026-04-16 14:00,2026-04-16 17:15,SHORT,4823.4,4807.55,2,SHORT,0.3125,174.48,11339.79,TP,13,2026-04
2026-04-21 14:15,2026-04-21 14:30,SHORT,4792.6,4772.07,2,SHORT,0.4123,218.32,11558.12,TP,1,2026-04
2026-04-21 14:30,2026-04-21 16:15,SHORT,4762.8,4740.44,2,SHORT,0.4535,223.28,11781.4,TP,7,2026-04
2026-04-21 16:15,2026-04-21 19:30,SHORT,4739.9,4713.04,2,SHORT,0.5507,228.98,12010.38,TP,13,2026-04
2026-04-22 14:00,2026-04-22 15:30,SHORT,4765.1,4750.73,2,SHORT,0.2855,171.46,12181.84,TP,6,2026-04
2026-04-22 15:30,2026-04-22 17:00,SHORT,4745.6,4753.65,2,SHORT,-0.1857,-113.09,12068.75,SL,6,2026-04
2026-04-23 13:30,2026-04-23 17:00,SHORT,4751.6,4734.96,2,SHORT,0.3342,201.66,12270.41,TP,14,2026-04
2026-04-24 14:45,2026-04-24 20:00,SHORT,4743.2,4724.05,2,SHORT,0.3877,235.68,12506.09,TP,21,2026-04
2026-04-27 13:30,2026-04-27 14:45,SHORT,4708.0,4696.05,3,SHORT,0.2377,148.66,12654.76,TP,5,2026-04
2026-04-27 14:45,2026-04-27 22:00,SHORT,4693.2,4700.86,2,SHORT,-0.1791,-113.33,12541.42,SL,25,2026-04
2026-04-28 13:30,2026-04-28 17:15,SHORT,4594.7,4607.65,2,SHORT,-0.2979,-132.53,12408.89,SL,15,2026-04
2026-04-29 13:30,2026-04-29 14:00,SHORT,4527.2,4535.51,2,SHORT,-0.1997,-123.87,12285.02,SL,2,2026-04
2026-04-29 14:00,2026-04-29 14:30,SHORT,4538.7,4547.84,2,SHORT,-0.2174,-132.61,12152.4,SL,2,2026-04
2026-04-29 16:45,2026-04-29 18:30,SHORT,4559.0,4537.76,2,SHORT,0.4498,234.7,12387.1,TP,7,2026-04
2026-04-30 13:45,2026-04-30 14:00,SHORT,4623.1,4631.75,2,SHORT,-0.203,-125.75,12261.36,SL,1,2026-04
2026-04-30 15:30,2026-04-30 22:00,SHORT,4628.5,4637.64,3,SHORT,-0.2136,-130.93,12130.42,SL,22,2026-04
2026-05-04 15:00,2026-05-04 15:45,SHORT,4559.6,4539.18,2,SHORT,0.4319,233.94,12364.37,TP,3,2026-05
2026-05-04 15:45,2026-05-05 01:00,SHORT,4531.6,4544.53,2,SHORT,-0.3013,-130.58,12233.79,SL,33,2026-05
2026-05-05 15:15,2026-05-05 16:15,SHORT,4590.4,4573.86,2,SHORT,0.3444,210.65,12444.44,TP,4,2026-05
2026-05-05 16:30,2026-05-05 18:00,SHORT,4567.4,4574.63,2,SHORT,-0.1743,-108.48,12335.96,SL,6,2026-05
