time,dir,entry,exit,t1hit,pnl,eq,xt,bars,month
2025-04-04 17:00,LONG,83084.77,83436.04,False,147.11,10147.11,SESS,1,2025-04
2025-04-14 15:45,SHORT,84095.53,84371.1,False,-155.33,9991.79,SL,1,2025-04
2025-04-14 17:00,SHORT,84418.86,84537.7,False,-78.25,9913.54,SESS,1,2025-04
2025-04-19 16:45,SHORT,84846.41,84936.03,False,-63.7,9849.85,SL,1,2025-04
2025-04-29 15:45,LONG,94859.76,94859.76,True,68.7,9918.54,SL,5,2025-04
2025-05-03 16:00,LONG,96322.14,96264.55,False,-45.54,9873.0,SL,1,2025-05
2025-05-03 16:15,SHORT,96300.19,96008.02,True,60.8,9933.8,TP2,3,2025-05
2025-05-06 15:30,LONG,94593.01,94433.14,False,-89.01,9844.79,SL,2,2025-05
2025-05-07 15:30,LONG,97111.01,96967.2,False,-79.98,9764.81,SL,1,2025-05
2025-05-10 16:30,SHORT,103387.98,103479.36,False,-56.01,9708.81,SL,1,2025-05
2025-05-10 16:45,SHORT,103446.64,103397.23,False,-2.81,9706.0,SESS,1,2025-05
2025-05-11 15:15,LONG,104379.95,104224.71,False,-79.1,9626.9,SL,2,2025-05
2025-05-15 15:45,LONG,103286.86,103046.99,False,-110.61,9516.29,SL,3,2025-05
2025-05-26 15:30,LONG,110012.5,110012.5,True,46.53,9562.83,SL,3,2025-05
2025-05-30 16:00,SHORT,105344.96,104344.32,True,230.25,9793.08,TP2,2,2025-05
2025-06-04 16:15,SHORT,105174.95,105331.32,False,-79.79,9713.29,SL,1,2025-06
2025-06-04 17:00,LONG,105458.2,105307.55,False,-76.87,9636.42,SL,1,2025-06
2025-06-05 15:45,SHORT,104572.7,103486.44,True,255.89,9892.31,TP2,4,2025-06
2025-06-11 16:45,SHORT,109474.17,109590.28,False,-63.73,9828.58,SESS,1,2025-06
2025-06-11 17:00,SHORT,109590.28,109763.73,False,-83.85,9744.73,SL,1,2025-06
2025-06-12 15:15,SHORT,107229.02,107399.62,False,-83.45,9661.28,SL,1,2025-06
2025-06-15 16:45,LONG,105605.84,105513.39,False,-55.09,9606.19,SESS,1,2025-06
2025-06-21 15:30,SHORT,103557.51,103645.55,False,-53.8,9552.39,SL,2,2025-06
2025-06-21 16:45,SHORT,103512.74,103569.55,False,-41.99,9510.41,SESS,1,2025-06
2025-06-23 16:00,SHORT,101125.72,99831.71,True,316.48,9826.89,TP2,2,2025-06
2025-06-28 15:45,LONG,107506.75,107468.37,False,-35.65,9791.24,SL,1,2025-06
2025-06-29 16:30,SHORT,107518.81,107607.7,False,-53.92,9737.32,SL,1,2025-06
2025-07-03 15:30,LONG,109321.54,109072.8,False,-110.04,9627.28,SL,2,2025-07
2025-07-05 15:45,SHORT,108103.3,108103.3,True,0.69,9627.96,SL,4,2025-07
2025-07-08 16:00,SHORT,108170.86,108319.65,False,-74.15,9553.81,SL,1,2025-07
2025-07-08 16:15,SHORT,108462.7,108622.6,False,-77.36,9476.45,SL,3,2025-07
2025-07-09 15:30,LONG,108875.81,109276.01,True,118.08,9594.54,SESS,6,2025-07
2025-07-10 15:30,LONG,111257.53,112105.52,True,180.95,9775.49,TP2,4,2025-07
2025-07-11 16:00,SHORT,116863.74,117101.29,False,-100.99,9674.5,SL,1,2025-07
2025-07-17 15:30,LONG,119153.83,118933.47,False,-92.85,9581.64,SL,1,2025-07
2025-07-17 17:00,LONG,118969.6,118760.74,False,-88.36,9493.28,SL,1,2025-07
2025-07-19 15:45,LONG,118114.79,118006.14,False,-55.82,9437.46,SL,1,2025-07
2025-07-19 16:00,SHORT,117940.04,118051.14,False,-56.32,9381.14,SL,1,2025-07
2025-07-23 16:15,SHORT,117927.0,117614.7,False,78.74,9459.88,SESS,3,2025-07
2025-07-30 16:30,SHORT,117780.88,117761.64,False,-14.63,9445.25,SESS,2,2025-07
2025-07-31 16:30,LONG,118604.07,118421.53,False,-78.93,9366.32,SL,1,2025-07
2025-08-09 15:45,SHORT,116912.04,116766.99,True,38.93,9405.24,SESS,5,2025-08
2025-08-17 16:45,SHORT,117888.98,117814.4,False,3.11,9408.35,SESS,1,2025-08
2025-08-18 15:30,LONG,115824.3,116317.19,True,128.56,9536.91,SESS,6,2025-08
2025-08-20 15:15,LONG,114312.14,114072.82,False,-100.84,9436.06,SL,1,2025-08
2025-08-25 15:30,LONG,112415.04,112165.06,False,-104.69,9331.37,SL,1,2025-08
2025-08-25 16:15,LONG,112628.24,112375.14,False,-104.41,9226.96,SL,3,2025-08
2025-08-26 15:45,SHORT,109657.06,109924.74,False,-110.39,9116.57,SL,4,2025-08
2025-08-31 16:00,LONG,108781.46,108690.79,False,-50.45,9066.12,SL,1,2025-08
2025-09-06 15:15,SHORT,110768.62,110513.42,True,37.57,9103.69,TP2,2,2025-09
2025-09-11 16:00,LONG,114338.03,114489.97,False,28.36,9132.05,SESS,4,2025-09
2025-09-12 15:15,SHORT,115052.0,115205.57,False,-68.85,9063.2,SL,1,2025-09
2025-09-12 16:30,LONG,115400.03,115652.74,False,59.45,9122.65,SESS,2,2025-09
2025-09-13 15:30,SHORT,115816.0,115456.33,True,57.98,9180.63,TP2,4,2025-09
2025-09-16 16:00,LONG,115790.02,115633.41,False,-69.87,9110.77,SL,1,2025-09
2025-09-23 16:45,SHORT,112864.0,112618.26,False,59.3,9170.07,SESS,1,2025-09
2025-09-26 16:30,LONG,109377.44,109625.45,False,63.0,9233.07,SESS,2,2025-09
2025-09-26 17:00,LONG,109625.45,110010.01,True,116.28,9349.35,SESS,2,2025-09
2025-10-11 16:00,SHORT,112163.98,112163.98,True,49.62,9398.97,SL,4,2025-10
2025-10-13 16:30,SHORT,114481.31,114822.72,False,-132.8,9266.17,SL,1,2025-10
2025-10-14 16:45,LONG,112398.04,112031.78,False,-141.16,9125.01,SL,1,2025-10
2025-10-18 16:30,SHORT,106617.99,106715.53,False,-53.47,9071.54,SL,1,2025-10
2025-10-22 16:30,LONG,108430.98,108190.02,False,-100.59,8970.95,SESS,2,2025-10
2025-10-27 16:30,LONG,115453.99,115559.71,False,13.12,8984.07,SESS,2,2025-10
2025-11-01 15:15,LONG,110016.96,110474.8,True,83.31,9067.38,TP2,6,2025-11
2025-11-02 15:30,LONG,110260.03,110128.54,False,-63.2,9004.17,SL,1,2025-11
2025-11-02 15:45,SHORT,110095.99,110095.99,True,41.97,9046.15,SL,3,2025-11
2025-11-03 15:15,SHORT,105984.19,106239.68,False,-107.13,8939.02,SL,1,2025-11
2025-11-15 16:30,SHORT,95979.56,96138.93,False,-79.04,8859.98,SL,2,2025-11
2025-11-18 15:15,LONG,92710.54,92411.32,False,-133.87,8726.11,SL,1,2025-11
2025-11-22 16:15,LONG,84548.77,84388.07,False,-85.54,8640.57,SL,3,2025-11
2025-11-26 15:45,SHORT,86945.14,87130.17,False,-92.56,8548.0,SL,1,2025-11
2025-11-29 15:15,LONG,90909.31,90909.31,True,17.67,8565.68,SL,4,2025-11
2025-12-04 16:30,SHORT,92563.99,92292.0,False,81.83,8647.51,SESS,2,2025-12
2025-12-07 16:45,LONG,89889.95,89651.02,False,-110.97,8536.54,SL,1,2025-12
2025-12-10 17:00,SHORT,92236.87,92391.03,False,-75.85,8460.69,SL,1,2025-12
2025-12-12 15:15,SHORT,90846.47,89986.46,True,202.96,8663.66,TP2,2,2025-12
2025-12-21 17:00,LONG,88389.11,88269.66,False,-65.89,8597.76,SL,1,2025-12
2025-12-22 16:00,LONG,89785.27,89564.63,False,-103.43,8494.34,SL,2,2025-12
2025-12-23 17:00,LONG,87822.03,87670.24,False,-77.41,8416.92,SESS,1,2025-12
2025-12-24 15:15,SHORT,86798.46,86942.16,False,-74.26,8342.67,SL,1,2025-12
2025-12-27 16:30,SHORT,87487.44,87470.07,False,-11.73,8330.94,SESS,2,2025-12
2025-12-28 16:30,SHORT,87731.22,87782.78,False,-37.91,8293.02,SL,2,2025-12
2025-12-28 17:00,SHORT,87838.98,87815.99,False,-9.56,8283.46,SESS,1,2025-12
2026-01-03 16:15,LONG,90016.21,90016.21,True,14.07,8297.53,SL,3,2026-01
2026-01-04 16:30,LONG,91255.53,91304.0,False,-0.63,8296.9,SESS,2,2026-01
2026-01-06 16:15,SHORT,92802.0,92572.0,True,118.38,8415.29,SESS,3,2026-01
2026-01-08 16:30,LONG,90625.88,90780.58,True,116.95,8532.24,SESS,3,2026-01
2026-01-10 16:45,LONG,90556.01,90589.99,False,-5.96,8526.27,SESS,1,2026-01
2026-01-11 16:00,LONG,90773.13,91123.96,True,72.07,8598.34,TP2,2,2026-01
2026-01-12 15:45,LONG,91579.72,91905.55,True,121.6,8719.95,SESS,5,2026-01
2026-01-15 16:30,SHORT,96748.01,96462.0,False,83.93,8803.87,SESS,2,2026-01
2026-01-16 15:30,SHORT,94476.74,94640.25,False,-80.32,8723.56,SL,1,2026-01
2026-01-17 16:30,LONG,95346.01,95279.54,False,-43.52,8680.04,SL,1,2026-01
2026-01-18 15:45,SHORT,95074.1,95139.47,False,-42.97,8637.07,SL,1,2026-01
2026-01-18 16:15,LONG,95058.53,95103.99,False,-2.48,8634.59,SESS,3,2026-01
2026-01-21 16:30,LONG,88087.31,87789.23,False,-135.87,8498.72,SL,1,2026-01
2026-01-23 16:45,LONG,90020.38,90105.03,False,13.27,8511.99,SESS,1,2026-01
2026-01-26 16:15,SHORT,87608.36,87332.66,False,88.42,8600.41,SESS,3,2026-01
2026-02-10 17:00,LONG,69368.82,69637.92,False,114.53,8714.95,SESS,1,2026-02
2026-02-12 16:00,SHORT,66500.0,66756.77,False,-153.77,8561.17,SL,1,2026-02
2026-02-14 16:45,LONG,69724.0,69589.95,False,-84.68,8476.5,SL,1,2026-02
2026-02-18 16:15,SHORT,67225.55,67425.22,False,-119.36,8357.14,SL,3,2026-02
2026-02-19 15:15,SHORT,66015.33,66192.62,False,-108.16,8248.98,SL,1,2026-02
2026-02-20 17:00,LONG,67065.61,67010.3,False,-45.36,8203.62,SESS,1,2026-02
2026-02-28 16:00,LONG,64887.99,64953.64,False,15.15,8218.77,SESS,4,2026-02
2026-03-03 16:15,LONG,68828.44,68546.52,False,-152.74,8066.04,SL,1,2026-03
2026-03-03 17:00,LONG,67945.48,68235.33,False,118.19,8184.23,SESS,1,2026-03
2026-03-07 15:45,SHORT,67874.75,67838.23,False,-0.39,8183.84,TIME,5,2026-03
2026-03-08 15:30,SHORT,67156.59,67156.59,True,77.92,8261.76,SL,6,2026-03
2026-03-11 15:45,LONG,70252.8,71288.1,True,383.29,8645.05,SESS,6,2026-03
2026-03-13 16:15,SHORT,71394.93,71663.34,False,-149.02,8496.03,SL,1,2026-03
2026-03-15 15:30,SHORT,71504.96,71599.2,False,-63.48,8432.55,SL,2,2026-03
2026-03-15 16:00,SHORT,71566.54,71499.07,True,56.93,8489.48,SESS,4,2026-03
2026-03-16 15:15,LONG,73864.0,73640.55,False,-121.41,8368.07,SL,1,2026-03
2026-03-16 16:45,LONG,73767.05,73842.06,False,15.63,8383.7,SESS,1,2026-03
2026-03-21 15:45,SHORT,70616.7,70265.38,True,96.6,8480.3,TP2,4,2026-03
2026-03-29 15:15,SHORT,66362.01,66449.25,False,-63.25,8417.05,SL,2,2026-03
2026-04-02 15:30,LONG,66922.68,66750.35,False,-105.21,8311.84,SL,1,2026-04
2026-04-05 15:30,LONG,67428.0,67338.84,False,-62.25,8249.59,SL,1,2026-04
2026-04-11 15:30,SHORT,72807.25,72876.05,False,-49.33,8200.26,SL,1,2026-04
2026-04-11 16:00,LONG,72906.09,73043.06,True,49.84,8250.1,SESS,4,2026-04
2026-04-19 17:00,SHORT,75295.59,75300.46,False,-20.28,8229.81,SESS,1,2026-04
2026-04-20 15:15,LONG,75792.0,75581.06,False,-109.72,8120.09,SL,1,2026-04
2026-04-21 17:00,SHORT,75555.53,75555.53,True,94.7,8214.79,SL,2,2026-04
2026-04-24 15:15,SHORT,77849.99,77980.18,False,-73.02,8141.76,SL,1,2026-04
2026-04-25 16:00,SHORT,77471.75,77231.88,True,51.54,8193.3,TP2,2,2026-04
2026-05-08 16:00,LONG,79941.61,79781.67,False,-83.59,8109.71,SL,2,2026-05
2026-05-08 16:30,SHORT,79771.03,79918.82,False,-77.94,8031.77,SL,2,2026-05
2026-05-09 15:30,LONG,80475.0,80739.76,True,55.14,8086.9,TP2,3,2026-05
2026-05-11 15:30,LONG,81198.37,81482.77,True,114.18,8201.08,SESS,6,2026-05
2026-05-17 17:00,SHORT,77887.99,77953.24,False,-45.53,8155.56,SL,1,2026-05
2026-05-19 17:00,LONG,76890.44,76801.98,False,-55.47,8100.08,SESS,1,2026-05
