time,dir,entry,exit,t1hit,pnl,eq,xt,bars,month
2025-03-31 14:00,LONG,83321.77,83333.23,False,-3.88,9996.12,TIME,8,2025-03
2025-04-01 14:00,SHORT,82775.19,83971.89,False,-207.53,9788.59,SL,3,2025-04
2025-04-03 14:00,SHORT,81757.94,82129.31,False,-75.36,9713.23,TIME,8,2025-04
2025-04-05 14:30,LONG,82886.26,82417.5,False,-213.16,9500.07,SL,4,2025-04
2025-04-06 14:45,LONG,82639.36,82123.72,False,-206.75,9293.32,SL,7,2025-04
2025-04-08 14:30,SHORT,79098.85,77070.27,True,207.68,9501.0,TP2,10,2025-04
2025-04-09 16:45,LONG,78205.91,78442.35,False,24.45,9525.45,SESS,1,2025-04
2025-04-10 15:00,SHORT,80664.3,78503.4,True,247.56,9773.01,TP2,4,2025-04
2025-04-12 14:15,LONG,84865.89,84970.67,False,8.8,9781.81,TIME,8,2025-04
2025-04-13 16:15,LONG,84262.73,84524.08,False,46.59,9828.4,SESS,3,2025-04
2025-04-14 14:15,LONG,85077.08,83964.91,False,-204.84,9623.56,SL,5,2025-04
2025-04-15 14:15,SHORT,84962.41,85013.05,False,-11.6,9611.96,TIME,8,2025-04
2025-04-16 14:15,LONG,84365.52,85165.06,True,142.22,9754.19,SESS,11,2025-04
2025-04-17 14:00,SHORT,84161.22,84161.22,True,47.02,9801.21,SL,3,2025-04
2025-04-19 15:30,SHORT,85258.82,85258.82,True,24.57,9825.78,SL,2,2025-04
2025-04-20 14:00,LONG,84559.25,84440.26,False,-76.92,9748.86,TIME,8,2025-04
2025-04-21 14:00,LONG,87703.43,87703.43,True,64.37,9813.23,SL,10,2025-04
2025-04-22 14:30,LONG,90764.59,90883.27,False,9.37,9822.59,TIME,8,2025-04
2025-04-24 14:30,LONG,93173.25,93173.25,True,51.57,9874.17,SL,10,2025-04
2025-04-25 14:00,LONG,95401.91,94991.0,False,-61.17,9812.99,TIME,8,2025-04
2025-04-26 14:30,LONG,94236.74,94192.25,False,-40.12,9772.87,TIME,8,2025-04
2025-04-28 15:15,SHORT,93802.01,93687.92,False,7.96,9780.83,SESS,7,2025-04
2025-04-29 14:30,LONG,95182.64,95487.98,False,88.31,9869.14,TIME,8,2025-04
2025-05-01 14:45,LONG,96927.04,97088.38,False,18.12,9887.26,TIME,8,2025-05
2025-05-02 14:15,LONG,97206.25,97206.25,True,46.86,9934.12,SL,4,2025-05
2025-05-04 14:00,LONG,95492.16,95450.02,False,-39.39,9894.73,TIME,8,2025-05
2025-05-06 14:00,LONG,94025.99,94458.34,True,126.75,10021.48,SESS,12,2025-05
2025-05-07 14:15,LONG,97488.17,96622.6,False,-212.85,9808.64,SL,8,2025-05
2025-05-08 15:00,LONG,99780.02,100886.02,True,197.12,10005.76,TP2,2,2025-05
2025-05-09 14:15,SHORT,102672.87,102769.51,False,-24.9,9980.86,TIME,8,2025-05
2025-05-11 14:15,SHORT,103941.2,104660.7,False,-215.48,9765.38,SL,4,2025-05
2025-05-12 14:15,SHORT,102950.99,102984.98,False,-9.81,9755.57,TIME,8,2025-05
2025-05-13 14:00,SHORT,103108.34,104056.37,False,-206.78,9548.79,SL,8,2025-05
2025-05-14 14:15,SHORT,103112.05,103478.05,False,-59.13,9489.66,TIME,8,2025-05
2025-05-15 15:30,LONG,103021.05,103715.21,False,77.99,9567.66,SESS,6,2025-05
2025-05-16 14:30,SHORT,103377.66,104262.17,False,-203.65,9364.0,SL,2,2025-05
2025-05-17 14:15,LONG,103052.93,103036.58,False,-26.54,9337.46,TIME,8,2025-05
2025-05-18 14:30,LONG,105230.78,105532.1,False,32.48,9369.93,TIME,8,2025-05
2025-05-19 14:30,LONG,103773.43,105093.6,True,150.87,9520.81,SESS,10,2025-05
2025-05-20 14:15,LONG,104733.24,105670.34,True,196.43,9717.23,TP2,11,2025-05
2025-05-21 14:30,LONG,107822.22,109107.95,True,163.2,9880.43,SESS,10,2025-05
2025-05-22 14:00,SHORT,110771.54,111565.04,False,-173.19,9707.24,TIME,8,2025-05
2025-05-23 14:00,LONG,109938.7,108687.03,False,-179.05,9528.19,TIME,8,2025-05
2025-05-24 14:45,LONG,108993.59,109044.7,False,-3.09,9525.1,TIME,8,2025-05
2025-05-25 14:30,SHORT,107246.34,106737.26,True,92.88,9617.98,TP2,4,2025-05
